text,original_filename
Giddy Phelps Touches Gold for First Time,test.csv
Tougher rules won't soften Law's game,test.csv
Shoppach doesn't appear ready to hit the next level,test.csv
Mighty Ortiz makes sure Sox can rest easy,test.csv
They've caught his eye,test.csv
Indians Mount Charge,test.csv
Johnson Helps D-Backs End Nine-Game Slide (AP),test.csv
Erstad's Double Lifts Angels to Win (AP),test.csv
Drew Out of Braves' Lineup After Injury (AP),test.csv
Another Major Non-Factor,test.csv
Johnson Back to His Best as D-Backs End Streak,test.csv
"Sutton Adds Haas, Cink to Ryder Cup Team",test.csv
Haas and Cink Selected for Ryder Cup Team,test.csv
Natalie Coughlin Wins 100M Backstroke (AP),test.csv
Bobcats Trade Drobnjak to Hawks for Pick (AP),test.csv
Jury Can Hear of Kobe Accuser's Sex Life (AP),test.csv
Griffin to Anchor D-Line,test.csv
Capacity Crowds at Beach Volleyball Rock the Joint,test.csv
Kederis proclaims innocence,test.csv
Eriksson doesn #39;t feel any extra pressure following scandal,test.csv
Injured Heskey to miss England friendly,test.csv
"Olympic history for India, UAE",test.csv
Edwards Banned from Games - Source,test.csv
"Iliadis, Tanimoto win judo golds",test.csv
Buckeyes have lots to replace but are brimming with optimism,test.csv
Women stumble to silver,test.csv
Notable quotes Tuesday at the Athens Olympics,test.csv
Security scare as intruder dives in,test.csv
"Team USA barely wins, but struggles not all players #39; fault",test.csv
UPI NewsTrack Sports,test.csv
"Youkilis, McCarty placed on 15-day disabled list",test.csv
Former Florida Swimming Coach Dies at 83 (AP),test.csv
US Men Have Right Touch in Relay Duel Against Australia,test.csv
Cabrera Leads Red Sox Past Blue Jays 5-4 (AP),test.csv
United Arab Emirates trap shooter secures nation #39;s first Olympic gold,test.csv
So. Cal Player Investigated in Sex Assault (AP),test.csv
China Sighs in Relief as Yao Scores High,test.csv
Zambrano Out Early; So Are Mets,test.csv
St. Louis Cardinals News,test.csv
Greek sprinters arrive at IOC hearing,test.csv
Flop in the ninth inning sinks Jays,test.csv
Hamm hopes to get on a roll,test.csv
Greek sprinters quit to end Games scandal,test.csv
Phelps Eyes Fourth Gold,test.csv
"Giants win 6th straight, but Schmidt is injured",test.csv
Afghan women make brief Olympic debut,test.csv
Olympics: Emotional Zijlaard-van Moorsel defends time trial title,test.csv
Dutch cyclist defends Olympic gold,test.csv
Expanding West,test.csv
Pacers Activate Foster From Injured List (AP),test.csv
Veterans Committee counts for little,test.csv
Today in Athens,test.csv
Greek sprinters quit Games,test.csv
Owners Seek Best Ballpark Deal for Expos (AP),test.csv
Crowd Inspires Greek Beach Volleyballers; U.S. Duo Ousted,test.csv
Boro Captain Warns of Duo #39;s Threat,test.csv
Hamilton Wins Cycling Time Trial Event,test.csv
Britain #39;s Olympic medal total takes sudden turn for the better,test.csv
Avalanche Sign Damphousse to One-Year Deal (AP),test.csv
Government gives partial clearance to Bangla tour,test.csv
Viduka Brace Helps Boro To Win,test.csv
British athletics appoint psychologist for 2008 Olympics,test.csv
"Olympic Daily Preview - Thursday, August 19",test.csv
Brazil beats Haiti in goodwill soccer game,test.csv
Tennis: Roddick and Williams ousted,test.csv
"Braves 6, Padres 5",test.csv
Scandal won #39;t go away,test.csv
Stanford's Cubit Hired As W. Mich. Coach (AP),test.csv
A shot in the arm for all,test.csv
Harris #39; three-run double in ninth sinks Gagne,test.csv
Ali gives Iraq fighting chance,test.csv
Olympics: Hansen still strong enough to take bronze,test.csv
American Aaron Peirsol Wins Gold on Appeal,test.csv
Carly Patterson Wins the Women's All-Round,test.csv
Olympics: Olympic weightlifting reels as six more lifters fail drug tests,test.csv
Colts' Carthon Hopes to Follow Dad in NFL (AP),test.csv
LPGA's Nabisco to Change Dates in 2006 (AP),test.csv
Sprint is chock full of potential heros,test.csv
Cink Leads NEC Invitational by One Shot (AP),test.csv
Liu brings China 4th gold in weightlifting at Athens Games,test.csv
Battling Davenport through,test.csv
Badminton pair want more,test.csv
"For starters, Giants #39; Manning on mark",test.csv
Clemens deal is waived off,test.csv
Agassi cruises into Washington Open ATP quarter-finals,test.csv
Carly Patterson Wins Gymnastics All-Around Gold,test.csv
3 US boxers punched out of Games,test.csv
