text,original_filename
Sister of man who died in Vancouver police custody slams chief (Canadian Press),test.csv
"Man Sought  #36;50M From McGreevey, Aides Say (AP)",test.csv
Explosions Echo Throughout Najaf,test.csv
Frail Pope Celebrates Mass at Lourdes,test.csv
Venezuela Prepares for Chavez Recall Vote,test.csv
1994 Law Designed to Preserve Guard Jobs (AP),test.csv
Iran Warns Its Missiles Can Hit Anywhere in Israel,test.csv
Afghan Army Dispatched to Calm Violence,test.csv
Politics an Afterthought Amid Hurricane (AP),test.csv
"Venezuelans Flood Polls, Voting Extended",test.csv
China Says Taiwan Spy Also Operated in U.S. - Media,test.csv
US fighter squadron to be deployed in South Korea next month (AFP),test.csv
Restive Maldives eases curfew after rounding up dissidents (AFP),test.csv
India's Tata expands regional footprint via NatSteel buyout (AFP),test.csv
Delegates Urge Cleric to Pull Out of Najaf,test.csv
UN launches 210-million-dollar appeal for flood-hit Bangladesh (AFP),test.csv
"Hurricane Survivors Wait for Water, Gas",test.csv
Jackson Squares Off With Prosecutor,test.csv
"Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian Press)",test.csv
On front line of AIDS in Russia,test.csv
"North Korea Talks Still On, China Tells Downer (Reuters)",test.csv
Last American defector in North Korea agrees to tell story (AFP),test.csv
Live: Olympics day four,test.csv
"Kerry Widens Lead in California, Poll Finds (Reuters)",test.csv
Venezuela vote keeps Chavez as president,test.csv
Jailing of HK democrat in China 'politically motivated' (AFP),test.csv
Fischer's Fiancee: Marriage Plans Genuine (AP),test.csv
U.S. Misses Cut in Olympic 100 Free,test.csv
U.S. Brokers Cease-fire in Western Afghanistan,test.csv
Delegation Is Delayed Before Reaching Najaf,test.csv
Mr Downer shoots his mouth off,test.csv
Stocks Climb on Drop in Consumer Prices,test.csv
Sudan vows to restore order to Darfur but calls for African peacekeepers (AFP),test.csv
Oil prices bubble to record high,test.csv
UK charges 8 in terror plot linked to alert in US,test.csv
Peace delegation leaves Najaf empty-handed as fighting continues,test.csv
Georgian president calls for international conference on South Ossetia,test.csv
"Shelling, shooting resumes in breakaway Georgian region (AFP)",test.csv
Kerry-Kerrey Confusion Trips Up Campaign (AP),test.csv
Schrder adopts Russian orphan,test.csv
"Sharon orders 1,000 homes in West Bank",test.csv
Bush Promotes His Plan for Missile Defense System,test.csv
Israelis OK new homes in West Bank,test.csv
Britain accuses 8 of terror plot,test.csv
Israel kills 5 in strike at Hamas activist,test.csv
Fresh Fighting Shatters Short-Lived Ceasefire Deal,test.csv
Karzai Promises Afghans Security for Election (Reuters),test.csv
Google Lowers Its IPO Price Range,test.csv
"Future Doctors, Crossing Borders",test.csv
Israel Kills 5 in Attempt to Assassinate Hamas Man,test.csv
"Philippine Rebels Free Troops, Talks in Doubt",test.csv
British Terror Suspects Make First Court Appearance,test.csv
North Korea peace efforts in peril,test.csv
Rebel threat on the roads leaves Katmandu isolated,test.csv
"Immigrants settled in big cities, but less likely to find work: StatsCan (Canadian Press)",test.csv
Russia ready to contribute to settlement of South Ossetia conflict: Putin,test.csv
Burundi Police Forcibly Disperse Tutsi Protest,test.csv
Martin announces major overhaul of key staff in Prime Minister's Office (Canadian Press),test.csv
Kerry assails Bush troop withdrawal plan (AFP),test.csv
Iraq cleric 'to end Najaf revolt',test.csv
Stock Prices Climb Ahead of Google IPO,test.csv
U.S. Forces Kill 50 Sadr Militia in Baghdad Suburb,test.csv
Putin faults Georgia on  #39;90s tactics in 2 regions,test.csv
Arafat urges reforms to rectify his  #39;mistakes #39;,test.csv
UN to begin second airlift of Vietnamese Montagnards (AFP),test.csv
