tweet_id	tweet_text	label
'451867084658442240'	Consejos a tener en cuenta si ocurre un terremoto como el de Chile #Mediamza http://t.co/1iKC8QFgh3	caution_and_advice
'451252417024499712'	#Tu_Pornografic Gobierno de Chile confirma cinco muertos a causa del terremoto: SANTIAGO DE CH... http://t.co/YPhdZ6OFpU #Tu_Pornografic	injured_or_dead_people
'451341796128219136'	Terremoto en #Chile y alerta Tsunami: 6 muertos… admirable ejemplo de prevención y disciplina  http://t.co/olOVGijR4I	injured_or_dead_people
'451434639857836032'	RT @AdrianaLopezTV: Terremoto en Chile de 8.2 grados. Mis oraciones para los chilenos	sympathy_and_emotional_support
'451538561956065280'	RT @ojsar: Arriba #Chile Dios con ustedes @24HorasTVN @TVChileTVN abrazos y oraciones a los afectados. Amo Chile	sympathy_and_emotional_support
'454284513754226688'	@paulinauribe__ Recolectan ayudas para damnificados de terremoto en Chile http://t.co/9xuQTO5Pdn via https://t.co/B81ZuiigTk APOYO RT RT RT	donation_needs_or_offers_or_volunteering_services
'451555959786471424'	RT @JohnnieBuchanan: 7? @rescatevzla: Según informes preliminares del @USGS, el sismo ocurrido en Chile, hace minutos,  magnitud 7.4 #Repli…	other_useful_information
'451241437770682368'	↑ 15 ↓ Gobierno de Chile confirma cinco muertos a causa del terremoto: SANTIAGO DE CHILE, Chile.- E... http://t.co/w8Cn8PoCk0 ↑ 15 ↓	injured_or_dead_people
'454297744069652480'	@prensalafkenche Recolectan ayudas para damnificados de terremoto en Chile http://t.co/9xuQTO5Pdn via https://t.co/B81ZuiigTk APOYO RT RT RT	donation_needs_or_offers_or_volunteering_services
'451410669397491712'	#Chile: Sismo deja 5 muertos, presidenta #Bachelet declara catástrofe http://t.co/1RJj2AyMak	injured_or_dead_people
'452942154739245056'	Amigos honestos y que no necesitan le estaban distribuyendo ayuda .Ojo con eso #Iquique	donation_needs_or_offers_or_volunteering_services
'451383028577607680'	6 muertes por ataques cardíacos tras el terremoto de 8.2 grados en Chile. 2000 casas afectadas.	injured_or_dead_people
'451440326897446916'	"RT @Francita98: Antofagasta envía ayuda a zona afectada por el terremoto,específicamente #Iquique ONEMI+Ejercito http://t.co/BbW9lcaq3Y"""	donation_needs_or_offers_or_volunteering_services
'452891831861538816'	RT @soopiiaa: Los + afectados y necesitados son aquellos q viven al interior la ayuda debiese ir para allá primero Gracias por todos los ap…	donation_needs_or_offers_or_volunteering_services
'451600536144330753'	"RT @munichmariuxitv: ""@NoticieroAnimal: Heroico rescate de un perro tras el terremoto en #IQUIQUE - #CHILE: http://t.co/Vt4uVVijXh"""	missing_trapped_or_found_people
'452174545894375424'	RT @GonzaloZamorano: Impresionantes desplazamientos en casas Alto Cerro Dragón #iquique Requieren ayuda máquina pesada #TerremotoenChile ht…	donation_needs_or_offers_or_volunteering_services
'451236395240026113'	Mis oraciones están con ustedes, que dios los proteja, todo estará bien. #FuerzaChile #PrayForChile	sympathy_and_emotional_support
'451709748782854145'	RT @la_dani_takilla: Aquí está para las personas que quieran y puedan ayudar RT gracias :) #FuerzaChile #FuerzaNorteDeChile http://t.co/bjD…	donation_needs_or_offers_or_volunteering_services
'451515864685096960'	(#On_Swager_1) Terremoto con seis muertos en Chile pone a prueba nuevo Gobierno de Bachelet: SA... http://t.co/eLfw53d6cA (#On_Swager_1)	injured_or_dead_people
'452238678530596864'	RT @mjcalvimontes: Gran legado @felipenavegante. Los chicos de @DesafioChile trabajando con todo para ayudar por #terremotochile, el mejor …	donation_needs_or_offers_or_volunteering_services
'453690472368984064'	Si la tv se va, las autoridades se relajaran, no critiquen el periodismo , hay muchas personas q necesitan ayuda y no les ha llegado#iquique	donation_needs_or_offers_or_volunteering_services
'451229581572198400'	"[ #Luiis_3x ] Cinco muertos en terremoto al norte chileno: SANTIAGO, Chile (AP) "" Un poderoso... http://t.co/8EkkH1ajZu ( #Wiz_Khalifa )"	injured_or_dead_people
'451875294710743040'	@RomeoSantosF Gobierno de Chile trabaja para restablecer servicios tras el terremoto: (CNN Espa... http://t.co/54velUbvpl @WinsFollowers	other_useful_information
'451441048884355072'	Un terremoto de 8,2 grados en el norte de Chile deja seis muertos. De momento, el país ha decretado estado de catástrofes.	injured_or_dead_people
'451887251275141120'	RT @bilbochile: #ayudaalospueblosinteriores #latirana #urgente #necesitan #ayudaurgente #TerremotoenChile” #apoyalatirana #IQUIQUE 	not_related_or_irrelevant
'451736123111669760'	RT @PequeFran: #TerremotoenChile Universitarios organizan centros d acopio para ayudar al pueblo nortino. http://t.co/4VQsqIrCHf RT	donation_needs_or_offers_or_volunteering_services
'451366446367797248'	@mhonividente #mhonienda ayudame amiguis cuando voy a tener trabajo??	not_related_or_irrelevant
'452108192005513216'	RT @Unimarc_ayuda: Todas nuestras  salas abiertas en #Iquique y #Alto Hospicio. Unimarc, con los precios de siempre. ¡Comprometidos con las…	not_related_or_irrelevant
'451269161919184896'	RT @ActualidadRT: ÚLTIMA HORA: Ministro del Interior de #Chile informa que el terremoto ha dejado 5 muertos http://t.co/6ltH9ggjuG	injured_or_dead_people
