tweet_id	tweet_text	label
'462764820425474048'	10 Questions on the Deadly Middle Eastern Virus That Showed Up in Indiana http://t.co/zNxoGtno7E #Tech	other_useful_information
'462301970250756096'	RT @Fla_Medic: AFD Blog `Voting On #MERS #Transmission: Do The Eyes Have It?' http://t.co/ycPjstRQ3Q	other_useful_information
'462769943659151361'	RT @ECDC_MSprenger: MERS-CoV: most important to apply basic infection prevention &amp; control measures in health facilities. Train &amp; check hea…	prevention
'461470349398642688'	RT @makoto_au_japon: #Canada: Six questions answered: What Canadians need to know about the #MERS #virus http://t.co/NoUqHInFhC #coronaviru…	other_useful_information
'464498271319523329'	Well phew. MT @ECDC_EU #MERS update: @WHO says no evidence of sustained human-to-human transmission in the community http://t.co/gonncrqPrc	disease_transmission
'468077392955990016'	(#Luke 21:11) #MERS: Saudis + 3 more deaths, WHO says increase prevention http://t.co/1vTnlGeO4k #EndTimes #WorldNews http://t.co/cwBbDeMPAz	deaths_reports
'462756736483733504'	RT @RevezNexus: 10 Questions on the Deadly Middle Eastern Virus That Showed Up in Indiana http://t.co/zPOiC0Jwc9	other_useful_information
'466339767077314560'	¤MGN-AFRICA» WHO Holds Emergency Meeting Over MERS: Health and infectious disease experts have... » http://t.co/Jp02Q3ev7h @mgnnewsafrica	other_useful_information
'468447713156411392'	What are the symptoms of #MERS?  Asking for a friend.	disease_signs_or_symptoms
'474567057716297728'	RT @EstherMuruaga: .@WHO, experts raise questions about newly revealed #SaudiArabia's #MERS cases: http://t.co/jwz7yHX8V3	other_useful_information
'468867066049867776'	via @nprnews: 3rd U.S. Case Raises More Questions About MERS Virus http://t.co/fPyYvnFuLt	affected_people
'467525817615278080'	@danablan what is a rihanna? Know of diharrhea and hanta. it some new nasty scary disease!? Like #MERS?! Holy fuck I want a bunker.	other_useful_information
'461941316012625920'	"RT @MackayIM: ""The majority of the infected healthcare workers presented with no or minor symptoms""  Rcnt #MERS cases as of 24-Apr. http://…"	disease_signs_or_symptoms
'462308661054820352'	CDC: First Case Of Deadly Middle Eastern Virus Confirmed In The U.S.: The Centers for Disease Control and Prev... http://t.co/4pp5Jf8xqF	deaths_reports
'462321694099902465'	@hniman Yes -- important detail in terms of hospital #MERS transmission risk. Thanks.	disease_transmission
'469038573966983168'	MERS - the next thing to be scared of folks. Unlike bird flu and mad cow disease this one WILL GET YOU.	other_useful_information
'463364161406107648'	MERS Patient Listed In 'Good' Condition: State health officials say there's no sign of MERS transmission in... http://t.co/NuYbxrCDq9	disease_transmission
'468048702616006656'	RT @BettinaVLA: It's Already In America---&gt;Muslim Tradition Of Drinking Camel Urine Will Spread MERS Disease Globally - Walid Shoebat http:…	disease_transmission
'462309913025200128'	First Case of Deadly Middle Eastern Virus Found in U.S.: The Centers for Disease Control has conf... http://t.co/1FAxm54S96 #TheIrfanism	affected_people
'463283583185334272'	News: NanoViricides Reports Novel Drug Candidates for Treatment of the MERS Middle East Respiratory Syndrome Coron... http://t.co/YcKUvZ5QGi	treatment
'462750349519253504'	#Tech News: 10 Questions on the Deadly Middle Eastern Virus That Showed Up in Indiana http://t.co/dADF7wN7Qe	other_useful_information
