tweet_id	tweet_text	label
'509390880315166720'	RT @rehman_azhar: #Sialkot airport where Imran Khan is about to land. #Floods #Pakistan #PTI http://t.co/FFlVKw7XGh	other_useful_information
'510365408440762368'	Kashmir floods: Hyderpora mosque a symbol of communal harmony http://t.co/RzLmknT5ul	other_useful_information
'510662605422096384'	Kashmir Floods: All Party Meeting in Srinagar Today: Chief Minister Omar Abdullah has called an all-party meet... http://t.co/i0eFDhJAAj	other_useful_information
'509274576275009536'	#NewsUpdates Death Toll from India-Pakistan Floods Reaches 400 http://t.co/w3S376Qaox	injured_or_dead_people
'509392343129022464'	RT @allaboutmqm: Video: Mian Ateeq visit KKF flood relief camp at commercial market #Rawalpindi #MQM #Pakistan http://t.co/26usa1wqhW	infrastructure_and_utilities_damage
'509304838090272769'	lot of diff in handling kadearnath and Kashmir's floods . leadership make all different .@BDUTT @gsurya	other_useful_information
'511541274541707266'	RT @PlanPakistan: Our thoughts and prayers are with people affected by the ongoing #floods. #Pakistan	sympathy_and_emotional_support
'509871434408402944'	So far a million Pakistanis affected by flooding; dike blown up to ease danger http://t.co/HovjPYg0nM	other_useful_information
'512199741627973632'	VIDEO: Kashmir floods leave thousands stranded http://t.co/CgMVas66p2	displaced_people_and_evacuations
'510343731199754240'	"RT @AAPKA_RK: ""@msisodia: All AAP MLAs have decided to collectively donate Rs 5.5 crore towards Kashmir flood relief fund."""	donation_needs_or_offers_or_volunteering_services
'510505706680619008'	RT @MotherJones: Why the Kashmir Floods Have Been So Deadly http://t.co/zuVM5VRILz	other_useful_information
'508846974020222976'	@akhan2866 @marvi_memon after destruction in Punjab now flood will be transferred to Sindh for more destruction.	infrastructure_and_utilities_damage
'509037097965977600'	PM Modi visits #Kashmir after floods kill 175...  http://t.co/DgQ9TKDvMv	injured_or_dead_people
'511147561751547904'	RT @firstpostin: When a flood is not a flood: Why Kashmir's flood debate is intensely political. Read more: http://t.co/GyZ0BSsc8n http://t…	other_useful_information
'508413325512679424'	#Oregon Toll from Pakistan, India floods rises over 230: i24news                         Publish... http://t.co/eNWCoDC3Nm #Pennsylvania	injured_or_dead_people
'508575792813465600'	"RT @ash_dubey: Where r those ""Freedom Fighters"" who extremely keen to lay their lives for ""Kashmiri People""? Oh wait... Flood is in India, …"	not_related_or_irrelevant
'510118459582480384'	Punjab govt to release Rs100 million as flood rages on http://t.co/TZz4RvUgzz	donation_needs_or_offers_or_volunteering_services
'511749387744063488'	Flood-Hit Areas in Kashmir May Face Disease Threat, Says Omar Abdullah: Certain areas in Kashmir Valley, which... http://t.co/zQVfNyjNTq	caution_and_advice
'511310919347871744'	#France At Least 17 Dead as Flood Rescue Boat Capsizes in Pakistan: At Least 17 Dead as Flood Rescue... http://t.co/oJbgm4g2hp #OKLAHOMA	injured_or_dead_people
'509380313433137152'	RT @MinhajAndleeb: #DrQadri appeals to the people of Pakistan2play their part in efforts 4 rescue of flood victims #StatusQuoVsOppressed ht…	injured_or_dead_people
'509062176875610112'	"RT @imran_sidra: Azad Kashmir badly affected by Floods.. people drowned and PM saying ""will build motorway in Muzaffarabad""  Can't u think …"	not_related_or_irrelevant
'509214035196522497'	RT @AFP: Trapped residents huddle on rooftops in Kashmir flood disaster http://t.co/Np28YOam8L	missing_trapped_or_found_people
'508937089644527616'	India and Pakistan tackle floods #NorthernIreland http://t.co/gteOBI4kxh	other_useful_information
'509291368796409856'	RT @AJELive: Floods kill hundreds in Pakistan and Kashmir http://t.co/4OqKjS6oPQ	injured_or_dead_people
'514661836981952512'	Environmental factor reason behind #KashmirFloods: Karan  http://t.co/lSNHcSHwGM	other_useful_information
'509267666020749313'	Over 200 killed in 4 days of rains, floods in Pakistan: Over 200 people have been killed and nearly 400 injure...  http://t.co/1BtsBdR04v	injured_or_dead_people
'509300621091307520'	Over 300 confirmed dead in Pakistan and India floods http://t.co/ATxFf7VMtk #pakistan #india #flood #Kashmir #Army	injured_or_dead_people
'512157451768967168'	@India272 @bjpsamvad @newsnation Help those Kashmiris who helped last years flood Victims in Uttra-Khand,Ask them what they&amp;their Govt did?	donation_needs_or_offers_or_volunteering_services
'514053192959541248'	RT @etribune: (News) Flood ‘14: Indian administered #Kashmir suffers from floods and official neglect http://t.co/NevgW2ObEk http://t.co/Qb…	other_useful_information
'508935250353721344'	ongoing Pakistan floods 2014 - real time Information communication remains slow/ Incomplete/less ac... http://t.co/h2VkKXS3WM via @weebly	other_useful_information
'509362207511961600'	Bollywood celebrities pray for Kashmir flood victims: Bollywood too isn't far behind. Voicing out their concer... http://t.co/9FY7JbCNBs	sympathy_and_emotional_support
'510889710882144256'	RT @AJELive: Hundreds killed as devastating floods wreak havoc in Kashmir and Pakistan http://t.co/8GXqXJDG2n #KashmirFloods http://t.co/6E…	injured_or_dead_people
'510951252998377472'	RT @SaqibMasoodPK: Pakistan Army at it's best in Flood Relief Efforts. A Slap to Uchakzai &amp; Mullah Diesel : @AsimBajwaISPR @mohsin1514 http…	other_useful_information
'508908052485922816'	RT @IndianExpress: JUST IN: India is ready to provide assistance to Pakistan to deal with the flood-ravaged areas of Pakistan-occupied Kash…	donation_needs_or_offers_or_volunteering_services
'511842318148567042'	#Relief #efforts continue in #flood-hit #Kashmir; Over 234,000 rescued http://t.co/x3ABjOj4FX	displaced_people_and_evacuations
'511162501698826240'	#DrQadri :Sharifs failed to develop flood preventive measures to save the homes of the oppressed class #PakistanRejectsNawaz	other_useful_information
'508562702974058496'	Jammu and Kashmir: Narendra Modi to visit flood-hit state today as death toll reaches 160 http://t.co/BS3Fpe6odH	injured_or_dead_people
'509331139719221248'	http://t.co/mClnHSqTTk Flood in Pakistan. Blog by: @Maha_ahmad_khan Retweet.	other_useful_information
'508963049173032960'	cm #Punjab Shahbaz Sharif addresses flood affected people in #Chiniot, promises relief and govt cooperation #CapitalTV.	donation_needs_or_offers_or_volunteering_services
