tweet_id	tweet_text	label
'577768641065836544'	RT @MailOnline: Cyclone Pam ravages Vanuatu as first rescue teams find entire villages blown away http://t.co/eHKH6RX2f8 http://t.co/UO5XP9…	infrastructure_and_utilities_damage
'579096700037545984'	Over 166,000 people affected on #Vanuatu and numbers continue to rise. UK FRA AUS NZ JAP militaries providing support http://t.co/iKMjJKVwIl	injured_or_dead_people
'580888918259863552'	Relationship goal is jim and Pam the office season 5/6	not_related_or_irrelevant
'576916057736138753'	Like martin do pam bitch get out	not_related_or_irrelevant
'577376430180315136'	Send cash to UNICEF, Red Cross, relevant NGOs to help Vanuatu #NativeAffairs	donation_needs_or_offers_or_volunteering_services
'580500687953477632'	#The UN asks for $38m to help Vanuatu - Sky News Australia http://t.co/zEH1f7JtYM	donation_needs_or_offers_or_volunteering_services
'578542061860859906'	RT @ElsieFukofuka: In the wake of #TCPam fury, #Japan today donated TOP$5m to Government of #Tonga to improve Disaster Risk Management http…	donation_needs_or_offers_or_volunteering_services
'577511375213236224'	RT @Watchdogsniffer: 150,000 people just had their homes wiped out in #Vanuatu BUT...the newsbeat goes on wasting time on Hillary's email. …	infrastructure_and_utilities_damage
'577761787912720384'	RT @Colincvr: OxfamInVanuatu: many people are living in evacuation centres at schools in PVila - this one at Freshwota #CyclonePam http://t…	displaced_people_and_evacuations
'576754146944163840'	RT @WFP_Asia: In contact with #vanuatu to understand impact of #CyclonePam, @WFP staff on way for assessment of food, logistics needs.	donation_needs_or_offers_or_volunteering_services
'580931151390470144'	@Fredomontojug @pamelagutiii please Pam tell him u don't like him like Tht so he can just stfu	not_related_or_irrelevant
'576828596951461888'	World #International #Ban_Ki_moon #Climate_Disasters #UN #Vanuatu UN Head Urges Better Safeguards for Climate… http://t.co/S17PzywwLh	other_useful_information
'576708663869464576'	As cyclone rips Vanuatu, many people without protection:	displaced_people_and_evacuations
'580091914428497921'	RT @ChronicleBooks: The bakesale is on! Stop by 680 2nd Street and donate to help those affected by the cyclone in #Vanuatu http://t.co/vas…	donation_needs_or_offers_or_volunteering_services
'578785626474082304'	All 23 VSA volunteers and staff in Vanuatu now confirmed safe and well. Read more: http://t.co/tSS06d9UyZ #CyclonePam	sympathy_and_emotional_support
