tweet_id	tweet_text	original_filename
'577768641065836544'	RT @MailOnline: Cyclone Pam ravages Vanuatu as first rescue teams find entire villages blown away http://t.co/eHKH6RX2f8 http://t.co/UO5XP9…	2015_Cyclone_Pam_en_CF.tsv
'579096700037545984'	Over 166,000 people affected on #Vanuatu and numbers continue to rise. UK FRA AUS NZ JAP militaries providing support http://t.co/iKMjJKVwIl	2015_Cyclone_Pam_en_CF.tsv
'580888918259863552'	Relationship goal is jim and Pam the office season 5/6	2015_Cyclone_Pam_en_CF.tsv
'576916057736138753'	Like martin do pam bitch get out	2015_Cyclone_Pam_en_CF.tsv
'577376430180315136'	Send cash to UNICEF, Red Cross, relevant NGOs to help Vanuatu #NativeAffairs	2015_Cyclone_Pam_en_CF.tsv
'580500687953477632'	#The UN asks for $38m to help Vanuatu - Sky News Australia http://t.co/zEH1f7JtYM	2015_Cyclone_Pam_en_CF.tsv
'578542061860859906'	RT @ElsieFukofuka: In the wake of #TCPam fury, #Japan today donated TOP$5m to Government of #Tonga to improve Disaster Risk Management http…	2015_Cyclone_Pam_en_CF.tsv
'577511375213236224'	RT @Watchdogsniffer: 150,000 people just had their homes wiped out in #Vanuatu BUT...the newsbeat goes on wasting time on Hillary's email. …	2015_Cyclone_Pam_en_CF.tsv
'577761787912720384'	RT @Colincvr: OxfamInVanuatu: many people are living in evacuation centres at schools in PVila - this one at Freshwota #CyclonePam http://t…	2015_Cyclone_Pam_en_CF.tsv
'576754146944163840'	RT @WFP_Asia: In contact with #vanuatu to understand impact of #CyclonePam, @WFP staff on way for assessment of food, logistics needs.	2015_Cyclone_Pam_en_CF.tsv
'580931151390470144'	@Fredomontojug @pamelagutiii please Pam tell him u don't like him like Tht so he can just stfu	2015_Cyclone_Pam_en_CF.tsv
'576828596951461888'	World #International #Ban_Ki_moon #Climate_Disasters #UN #Vanuatu UN Head Urges Better Safeguards for Climate… http://t.co/S17PzywwLh	2015_Cyclone_Pam_en_CF.tsv
'576708663869464576'	As cyclone rips Vanuatu, many people without protection:	2015_Cyclone_Pam_en_CF.tsv
'580091914428497921'	RT @ChronicleBooks: The bakesale is on! Stop by 680 2nd Street and donate to help those affected by the cyclone in #Vanuatu http://t.co/vas…	2015_Cyclone_Pam_en_CF.tsv
'578785626474082304'	All 23 VSA volunteers and staff in Vanuatu now confirmed safe and well. Read more: http://t.co/tSS06d9UyZ #CyclonePam	2015_Cyclone_Pam_en_CF.tsv
'576613603492507648'	RT @pandible: Don't forget the costs of #naturaldisaster aftermaths (eg #CyclonePam) - Prof Lesley Hughes &amp; @McKenzieAmanda #IDEA15 http://…	2015_Cyclone_Pam_en_CF.tsv
'580911092941111296'	When guys say they are Jim looking for their Pam... &gt; chessey but gets me every time	2015_Cyclone_Pam_en_CF.tsv
'576729944350322689'	"""I am a human...a detective and a Kamen Rider!""- Philip (Kamen Rider W's right side/ Kamen Rider Cyclone)"	2015_Cyclone_Pam_en_CF.tsv
'580153969059717120'	RT @LewisHamilton: 50k children at risk in #Vanuatu after devastation of #CyclonePam. Please help @savechildrenaus respond http://t.co/eHWp…	2015_Cyclone_Pam_en_CF.tsv
'577232778925895681'	3Novices:National › Vanuatu president, at Sendai meeting, appeals for help after cyclone http://t.co/A2UzGozIZD The president of Vanuatu …	2015_Cyclone_Pam_en_CF.tsv
'582063282359562240'	First dance as husband and wife! Congratulations Marco and Pam!! #wedding #weddingcoordinator #JenEvents... http://t.co/Q3SAUIImnf	2015_Cyclone_Pam_en_CF.tsv
'577161450201972736'	World Bank push to get funds to Vanuatu http://t.co/KhGu8LJywe	2015_Cyclone_Pam_en_CF.tsv
'576899716757241856'	Dwight loves Pam and it's adorable	2015_Cyclone_Pam_en_CF.tsv
'576837800747646976'	RT @DavidRomeiPHD: Our thoughts and prayers are with the people of #Vanuatu.  They have endured a terrible storm.   #climatechange http://t…	2015_Cyclone_Pam_en_CF.tsv
'581604008852357120'	Pam married to a grown ass child.	2015_Cyclone_Pam_en_CF.tsv
'576724102142033920'	Cyclone Pam leaves scene of destruction in Vanuatu - video: Amateur video reveals damage in Port Vila after Cy... http://t.co/lq2FlzJOG1	2015_Cyclone_Pam_en_CF.tsv
'576918307871289345'	someone tell kenvi that not every workplace relationship ends like jim and pam http://t.co/s3SjQcHue1	2015_Cyclone_Pam_en_CF.tsv
'578968024973242368'	How can Vanuatu’s tourism industry recover after Cyclone Pam? http://t.co/Zl32COcrSD http://t.co/cjHsBckl7v	2015_Cyclone_Pam_en_CF.tsv
'577083604662149120'	RT @AlexDMitchell: With @KitUsOut I meet some wonderful people from #Vanuatu &amp; #Tuvalu during #CommonwealthGames Thoughts are with them all…	2015_Cyclone_Pam_en_CF.tsv
'576709629079502849'	RT @RAPacificBeat: #CyclonePam: Flooding, destructive winds up to 240kmh bearing down on #Vanuatu #TCPam http://t.co/ixDoMU6GUb	2015_Cyclone_Pam_en_CF.tsv
'575826483983224834'	RT @SBSNews: Cyclone Nathan maintains U-turn trajectory http://t.co/FnJLOEPRxV http://t.co/iIFdOMoW0n	2015_Cyclone_Pam_en_CF.tsv
'579989803405422592'	RT @1DInfectionMNL: I am ABSOLUTELY SPEECHLESS by their performance. I can't even. What is this life.... I AM SO NAKDWKDKWMSPAMSIAL -Pam	2015_Cyclone_Pam_en_CF.tsv
'576874396993785858'	RT @CARE: Photos of #CyclonePam aftermath in #Vanuatu shared by @CARE staff. http://t.co/X7rnAHSKcW @cnnireport  #TCPam http://t.co/h9vszxs…	2015_Cyclone_Pam_en_CF.tsv
'577319932980924416'	RT @UnicefAsiaPac: Early photos of the devastation left behind by #CyclonePam in #Vanuatu, from @UNICEFPacific @UNICEF - http://t.co/PTnHrg…	2015_Cyclone_Pam_en_CF.tsv
'577441096315379712'	Vanuatu president pleads for aid in wake of deadly cyclone http://t.co/hwOQlCP7Zo #EMM	2015_Cyclone_Pam_en_CF.tsv
'580219792373645313'	RT @HumanityNews: News:  Vanuatu: UNICEF provides life-saving medical equipment and medicine to Vanuatu's children http://t.co/w5QQNaM9Sn	2015_Cyclone_Pam_en_CF.tsv
'577325320463765504'	FAST FACTS: Vanuatu: land of poverty and beauty: SUVA, Fiji – The south Pacific nation of Vanuatu hamm... http://t.co/3FzB79JHxa #beauty	2015_Cyclone_Pam_en_CF.tsv
'578709341492019200'	TROPICAL CYCLONE NATHAN.. THE CYCLONE THAT JUST KEEPS ON GIVING...   10.00 AM UPDATE *** TC NATHAN EXPECTED TO... http://t.co/dzHXUt1e3F	2015_Cyclone_Pam_en_CF.tsv
'580036198833352704'	RT @endupdreaming: @selflesswift PAM &amp; MELA, i hope you get it bc that took 0 minutes to come up ὠ2ὄB	2015_Cyclone_Pam_en_CF.tsv
'577139127059091456'	http://t.co/mRD5JnLWhb #news Cyclone Pam Blows Away Villages on Vanuatu Island - Discovery News	2015_Cyclone_Pam_en_CF.tsv
'577877779838058496'	RT @CraigBennett3: For years, #Vanuatu has pleaded with rich countries @UNFCCCC negotiations to take #ClimateChange seriously. For years th…	2015_Cyclone_Pam_en_CF.tsv
'576653153128439808'	Cyclone Pam Rips Through Vanuatu in South Pacific #Chicago, Illinois, Windy City,  http://t.co/lFlpo8bSr1	2015_Cyclone_Pam_en_CF.tsv
'577170999055130625'	Humanitarian crisis in Vanuatu in the aftermath of Cyclone Pam | via #Oxfam International |  https://t.co/of1SPz8vxR	2015_Cyclone_Pam_en_CF.tsv
'576266640192471040'	RT @VicStormChasers: *** VSC BREAKING NEWS *** *** TROPICAL CYCLONE UPDATE *** #tropicaltrio #tcpam #tcnathan #tcolwyn... http://t.co/5iKUw…	2015_Cyclone_Pam_en_CF.tsv
'576529350964719616'	@Jules0125 I will. Maybe you can whoop him so he'll behave for mrs. Pam ;)	2015_Cyclone_Pam_en_CF.tsv
'578804555749552128'	RT @climatecouncil: The damage caused by Cyclone Pam through widespread flooding was exacerbated by climate change http://t.co/6p7SThrGk5 h…	2015_Cyclone_Pam_en_CF.tsv
'577223328114454528'	RT @junglefruits: TROPICAL CYCLONE FORECAST TRACK MAP Tropical Cyclone Nathan http://t.co/Sy8QvzsTL7 http://t.co/tS9DPETEpy	2015_Cyclone_Pam_en_CF.tsv
'581120151820566528'	@kesspls @jvreims i just put some thought into this but if our squad were the ducks then i'd be cam, ren would be corey &amp; pam would be getz	2015_Cyclone_Pam_en_CF.tsv
'581149860197335040'	Panerai Radiomir California Dial 3 Days PAM 424 5.696 € http://t.co/ss6sXzGKd0	2015_Cyclone_Pam_en_CF.tsv
'577322147183521792'	RT @IvanCNN Cargo plane flies in over a village flooded by last Friday's Cyclone Pam on the outskirts of Port... http://t.co/gENikoIqBG	2015_Cyclone_Pam_en_CF.tsv
'576705763801985024'	"#WorldVision Chloe told @BBCNewsChannel ""Part of the emotional strain of #CyclonePam is residents knew...&amp; had to wait over a week for it"""	2015_Cyclone_Pam_en_CF.tsv
'576803252911542273'	RT @ABCNews24: Bishop: We have offered Australia's assistance &amp; we stand ready to support Vanuatu in this time of need. #CyclonePam	2015_Cyclone_Pam_en_CF.tsv
'580924993929932800'	Scarpa Men's Cyclone GTX Hiking Boot http://t.co/0yZJTzGBol	2015_Cyclone_Pam_en_CF.tsv
'576870735173578752'	Vanuatu appeals for aid after cyclone 'calamity' http://t.co/CNmPbGFz34	2015_Cyclone_Pam_en_CF.tsv
'581108286818123776'	Darin last night tells Pam all he spits is fireὠ2ὠ2ὠ2	2015_Cyclone_Pam_en_CF.tsv
'577018870801801216'	@TrishaNicholson thinking of you and hope you've escaped the cyclone. X	2015_Cyclone_Pam_en_CF.tsv
'577496505860300800'	RT @tekhneCO: Digital crisis mapping team @SBTaskForce needs #crowdsourcing help with #TCPam response in #Vanuatu. Details: http://t.co/mDT…	2015_Cyclone_Pam_en_CF.tsv
'576996315231449088'	Australian aid on its way after deadly #TCPam wreaks havoc in Vanuatu. @DamoNews reports in #9NewsAt6 http://t.co/2TlQGlpyBn	2015_Cyclone_Pam_en_CF.tsv
'577886820329000960'	@SlackedTourneys Abrupt Cyclone Abrupt Stealth	2015_Cyclone_Pam_en_CF.tsv
'577044576877342720'	Vanuatu.. Sad life, courage ὊA http://t.co/Rb2uizabnn	2015_Cyclone_Pam_en_CF.tsv
'579148854420983808'	http://t.co/lR76mJbL7p #Deals #0101 CYCLONE CUP Blender Mixer Bottle Protein Shaker 20 oz HOLDS POWDER SEPARATELY… http://t.co/ZD6L0ncAWX	2015_Cyclone_Pam_en_CF.tsv
'579434445440159744'	The 20 photographs of the week - Cyclone Pam hits Vanuatu, the dramatic election in Israel, the attack on the Bard... http://t.co/BdeOe52FAJ	2015_Cyclone_Pam_en_CF.tsv
'576863384492212224'	Cyclone Pam set to hammer North Island - National - NZ Herald News http://t.co/JWFwbD8VjR	2015_Cyclone_Pam_en_CF.tsv
'577559431392571394'	Minister defends Vanuatu aid budget http://t.co/R4O5PfnVrG	2015_Cyclone_Pam_en_CF.tsv
'576841240035078144'	RT @NK72: Heading to Vanuatu to support #savethechildren #CyclonePam response.	2015_Cyclone_Pam_en_CF.tsv
'577271134850191360'	cyclone hit last night and the power was fine	2015_Cyclone_Pam_en_CF.tsv
'576858370650439680'	RT @rnz_news: NZers urged to prepare for Cyclone Pam http://t.co/fdLi8llPzj	2015_Cyclone_Pam_en_CF.tsv
'576187488319856640'	RT @volvooceanrace: Our Race Village in Auckland will be closed tonight for safety reasons, due to cyclone Pam #VOR http://t.co/kOoSwW6w1u	2015_Cyclone_Pam_en_CF.tsv
'577237348309667840'	Cyclone Pam pummels Pacific islands http://t.co/W7XeUNFdmL #newyork	2015_Cyclone_Pam_en_CF.tsv
'577888744700805120'	"""6 Architecture Considerations When Deploying PAM"" via http://t.co/vOIKn8LIMW #CyberSecurity #InfoSec"	2015_Cyclone_Pam_en_CF.tsv
'577331443828797440'	day after supposed cyclone : http://t.co/2cHiCtG1Mm	2015_Cyclone_Pam_en_CF.tsv
'577748312020918272'	RT @guardian: Vanuatu disaster: follow the Guardian's reporter on the ground in the wake of cyclone Pam http://t.co/p9sVh1OfmN	2015_Cyclone_Pam_en_CF.tsv
'577741322930376704'	RT @thekiranbedi: US congresswoman,Grace Ming,Chamunda Swami,Pam Kwatra @IVFoundation fund raiser event: photo @jaymandal,Thks http://t.co/…	2015_Cyclone_Pam_en_CF.tsv
'576967682488061952'	Cyclone Pam: Darwin-based medics head to Vanuatu to provide aid (ABC): A team of six people from Darwin have b... http://t.co/Mx4a9vFllG	2015_Cyclone_Pam_en_CF.tsv
'576703031573614593'	Dozens feared dead as cyclone hits island nation of Vanuatu http://t.co/SP197U0IGN  http://t.co/TZTKL8FbDj	2015_Cyclone_Pam_en_CF.tsv
'576525906346311680'	Deaths feared as cyclone Pam crosses Vanuatu and heads for New Zealand: Cyclone Pam has intensified as it move... http://t.co/QDFoaRpWkf	2015_Cyclone_Pam_en_CF.tsv
'579507113434570753'	@UNFAO calls for emergency support for farmers in #Vanuatu - http://t.co/AeafA2HiPj #TCPam	2015_Cyclone_Pam_en_CF.tsv
'576603239694487552'	Update: PacificIslandLiving: Digicel phones seem 2b working again in #PortVila. Don't call unless an emergency pls. Text/sms instead.'#TCPam	2015_Cyclone_Pam_en_CF.tsv
'576635554588065792'	At least six people killed in #Vanuatu after severe category 5 #CyclonePam - according to @OxfamAustralia	2015_Cyclone_Pam_en_CF.tsv
'577479488440696832'	Devastation and death after Vanuatu cyclone: http://t.co/jVRxHphqF5 via @ReutersTV	2015_Cyclone_Pam_en_CF.tsv
'579488063425933312'	Travel to Vanuatu (Department of Foreign Affairs and Trade - Australian Government) http://t.co/QUcHHfOoEr	2015_Cyclone_Pam_en_CF.tsv
'577576121962668032'	The Hague Weather - Jaylene tells of how her house was ripped apart by Cyclone Pam while 10 people were in inside… http://t.co/sr8XJ0YyiO	2015_Cyclone_Pam_en_CF.tsv
'579989589764411393'	After cyclone, Vanuatu rebuilds with foreign aid: The delivery of relief supplies to Vanuatu's battered island... http://t.co/LMlwiwAacF	2015_Cyclone_Pam_en_CF.tsv
'577561388102483968'	RT @rtenews: Catch up with some of today's biggest news stories with @RTENewsFeed #CyclonePam #queues #homeless #Stormont #Durst https://t.…	2015_Cyclone_Pam_en_CF.tsv
'576314094719889409'	RT @9NewsAUS: Category five Cyclone Pam bears down on the island of Vanuatu: http://t.co/YaE7KcgkEk #9News http://t.co/3oZOOxZ8wv	2015_Cyclone_Pam_en_CF.tsv
'580502147512561664'	Word Trends: Ninnyhammer, Cyclone, Scion @dictionarycom http://t.co/91M8nV0OwP	2015_Cyclone_Pam_en_CF.tsv
'581927287907590144'	Cyclone Baseball leads 7-0 in the 4th.	2015_Cyclone_Pam_en_CF.tsv
'576485409770713088'	Cyclone Pam winds now reported at 265 kph (164 mph); flooding and landslides predicted - @Natalia_Cooper9 http://t.co/AMAY7mzrfl	2015_Cyclone_Pam_en_CF.tsv
'577312321036554241'	Vanuatu cyclone: Pam 'wiped out' development - BBC News via /r/worldnews http://t.co/Ah2XZhdtZo	2015_Cyclone_Pam_en_CF.tsv
'579471508893908992'	#Relief Samaritan’s Purse sending relief to victims of typhoon Vanuatu: International Christian relief organiz... http://t.co/EEyV3Ksihy	2015_Cyclone_Pam_en_CF.tsv
'576215093794508800'	RT @StuOstro: Tropical Cyclone #Pam http://t.co/HOXWJkCf62	2015_Cyclone_Pam_en_CF.tsv
'577829109360762881'	RT @micnews: A major cyclone in Vanuatu has left at least 24 dead http://t.co/HPnQDCOGMl http://t.co/N49Cit36QI	2015_Cyclone_Pam_en_CF.tsv
'577262954464223232'	RT @RNZInews: 45 percent of #Tuvalu population displaced - PM http://t.co/5XB9K5c982 #CyclonePam	2015_Cyclone_Pam_en_CF.tsv
'576432001324064768'	S/O to @TheifMage follow her Pam!	2015_Cyclone_Pam_en_CF.tsv
'577434599170666496'	RT @28storms: #CyclonePAM: Still no additional news from surrounding islands of Vanuatu including Tanna. Damage feared to be worse than Efa…	2015_Cyclone_Pam_en_CF.tsv
'580885945794232320'	Beyond Cyclone Pam: identifying Vanuatu's strengths and needs http://t.co/RzOLjrb6WX via @ConversationEDU	2015_Cyclone_Pam_en_CF.tsv
