Tweets	partition	Topics
news strongest quake hit northern california since double meaning never accurate	train	0
distressing napa quake may cost billion damage vineyard restaurant	train	0
full episode gma northern california hit magnitude earthquake famous	train	0
girl start lemonade stand help relief	train	0
california photo ever maybe napa image	train	0
usa even building seismic retrofit damaged napa earthquake usa four home napa va	train	0
magnitude earthquake hit northern california centered nort	train	0
northern california rocked magnitude earthquake fox news	train	0
skater make best napa earthquake shredding buckled street quote jurassic par	train	0
john oliver great explainer earthquake damage stop napa valley paper angel story predicted	train	0
napa private property damage total building red tagged	train	0
man drone footage show napa quake damage	train	0
one youngest victim speaks abc sacramento buried brick hour help arrived	train	0
napa valley vintner still assessing damage	train	0
napa earthquake bay area major fault quiet largest quake since loma prieta via	train	0
oklahoma passed california earthquake prone state country	train	0
northern california quake way know next via	train	0
earthquake magnitude northern california august utc	train	0
earthquake california updated thanks also	train	0
latest napa earthquake four home destroyed others damaged fire patient treated hospital	train	0
indycar community shaken california earthquake indianapolis star pqp q susto terremoto	train	0
speed light gt speed sound california early warning system beat napa earthquake second via	train	0
member respond napa earthquake via	train	0
california quake damage historic building strongest quake hit bay area year ff	train	0
really understand anyone making fun earthquake napa really severe damaged people home life	train	0
earthquake even building seismic retrofit damaged napa earth	train	0
fitness tracker revealed south napa earthquake	train	0
quake km yountville california	train	0
km nw american canyon california utc via	train	0
napa earthquake affect sleep graph pulled jawbone wearer	train	0
state emergency u quake state emergency declared california strong quake r	train	0
earthquake shake downtown napa damage building via	train	0
bay area earthquake damage napa county airport clean still underway wake	train	0
lot damage california winery earth quake weekend	train	0
aftershock rattle area california hit earthquake	train	0
skater california turn quake damaged road skate ramp	train	0
salsaquake bring chip strongest earthquake year one shop california http	train	0
usa earthquake strong earthquake shake bay area california news lhot indiana usa gary	train	0
quake damage drone video offer aerial view napa quake damage	train	0
nuke expert want california plant closed earthquake worry	train	0
california usa pomona score aftershock napa earthquake felt	train	0
magnitude earthquake hit northern california least people injured six criticall	train	0
napa earthquake may cost vineyard restaurant b	train	0
score aftershock napa earthquake felt way los angeles time nbcnews comscores aft	train	0
