Tweets	partition	Topics
terremoto en chile deja seis muertos el nuevo diario via	train	0
gracias todos por ayudar fernanda ya esta con su familia porfa	train	0
la gente de conce no ayudaron el demo vuelta la mano	train	0
recolectan ayudas para damnificados de terremoto en chile via apoyo	train	0
video michelle bachelet compromete ayuda para pescadores afectados	train	0
seis muertos casi un millon de evacuados por terremoto en chile sigue	train	0
chile en busca de refugio frente un tsunami el seismo ya ha dejado muertos	train	0
envia condolencias ofrece ayuda chile por sismo	train	0
fuerte sacude norte de desata al menos cinco muertos	train	0
last cuero terremoto con seis muertos en chile pone prueba nuevo gobierno de bachelet santia last cuero	train	0
increible como politico de se sacan tanta foto con donaciones que ni siquiera son de ellos son entregadas por gente como ud yo	train	0
ellos tambien son victimas del terremoto necesitamos su ayuda	train	0
gobierno de chile confirma cinco muertos causa del terremoto santiago	train	0
suman cinco muertos por terremoto en chile santiago chile de abril un	train	0
no queda claro que lo unico que quiere el sr soria e lucrarse siendo alcalde de poco le importa ayudar	train	0
esto e como una burla para la mi creen que siguiendose ustedes pueden ayudar que estupido	train	0
barricadas en iquique protestando por falta de ayuda tras terremoto reclaman por falta de agua de electricidad x viviendas latercera	train	0
chile activa la alerta de tsunami tras dejar cinco muertos un terremoto de grados	train	0
mandamos muchas oraciones fuerza para la gente de chile por el terremoto	train	0
el gobierno confirma cinco muertos causa del terremoto via	train	0
mi oraciones para chile por lo del terremoto espero que todo este estable que dios los bendiga los	train	0
que fuerza ni fuerza ahora vayan pedirle ayuda inglaterra	train	0
el en chile deja cinco muertos do por infarto tres por derrumbes de estructuras	train	0
gobierno de chile confirma cinco muertos causa del terremoto santiago	train	0
el gobierno de chile confirma cinco muertos causa del terremoto la victimas son cuatro hombre una mujer	train	0
liked video rescate post terremoto iquique	train	0
ayudachile hay una foto de centros de acopio en santiago creo	train	0
tsunami terremoto en chile chile pidiendo ayuda argentina fecha de hoy de abril ironia en e	train	0
orgullo da saber que chile e solidario sabra levantarse sin la ayuda de quienes ladran cuando nadie le ha pedido nada	train	0
tengo agua si alguien quiere llenar bidon llenar termos con agua caliente e ayuda negocio	train	0
se elevan seis los muertos tras terremoto de en chile cancelan alerta de tsunami fotos	train	0
gente con barricadas por falta de ayuda desabastecimiento	train	0
urgente alarma de tsunami en iquique mile de ciudadanos comienzan evacuar en estos minutos sismo de similar magnit	train	0
servicios ya estan restablecidos en iquique pocas horas de	train	0
