Tweets	partition	Topics
bbc news chile earthquake panic buying cleanup effort continues	train	0
gloria vanderbilt kaley cuoco chile earthquake good april fool prank dancing star l	train	0
earthquake tsunami north chili fuerza lm del norte lt energy force lm nord lt	train	0
tsunami alert dropped following quake northern chile	train	0
japan chile small tidal wave chilean earthquake reach japan	train	0
pray best prepare worst	train	0
top trending topic twitter atheist loon gnashing teeth right	train	0
laughed hard saw painted horrible pink gd hair black xdddddddd	train	0
earthquake coast chile tsunami triggered around year ago	train	0
hope friend loved one okay earthquake coast chile	train	0
another preliminary usgs slip model iquique n chile time using geodesy gps insar	train	0
sending prayer people chile earthquake getting worse worse hope everyone okay	train	0
really hardens heart really truly	train	0
huichacumbia en la	train	0
oh god destruction hmp let u pray chile	train	0
may allah protect everyone safeguard harm magnitude earthquake chile	train	0
heart prayer go chile	train	0
earthquake blackout terror scream panic power dy video	train	0
earthquake chile unfolds trembling earth agu blogosphere	train	0
learn world vision work chilean community	train	0
strong earthquake chile dead apg	train	0
earthquake tsunami everything time	train	0
earthquake tsunami earthquake tsunami le hour apart worried everyone c	train	0
people reported killed heart attack landslide	train	0
god testing killing family random geologic event keep faith lot tweet	train	0
earthquake chile local time today february th devastating magnitude ear	train	0
worry thing every little thing going alright	train	0
chile big bigger one awaits scientist say	train	0
video show strength earthquake hit chile localnews birminghamnews	train	0
geophysics quake moment moment lot technical info fascinating ht	train	0
issued warning following	train	0
massive chile earthquake leaf remarkably little damage report	train	0
death confirmed magnitude earthquake hit chile	train	0
earthquake chile wall collapsing liberton school thought family cliche sympathy	train	0
tsunami advisory evacuation city advises stay away shore	train	0
earthquake chile playing hear mexico could warning like wtf prayforlatina	train	0
lover amp husband	train	0
may god bless amp please keep praying	train	0
communication cut many area people waiting dark hill knowing come	train	0
hi mean world love much follow	train	0
let u take moment amp involved flt amp amp	train	0
follow follow everyone rts gain	train	0
aljazeera news tsunami wave hit chile earthquake wave hit powerful aftershock rock northern co	train	0
chile earthquake prompt break woman prison abc news via	train	0
oh god childrens people one minute silence	train	0
update threat following earthquake chilean coast c	train	0
rocked earthquake km wnw iquique chile	train	0
update report tsunami warning issued entire coastline	train	0
riot police would flown immediately northern maintain order	train	0
really world say argentina tweeting kill chilean crazy	train	0
let u pray chile lt	train	0
earthquake km wnw iquique chile apr epicenter ago depth km	train	0
breaking first wave reach coastline massive aftershock navy	train	0
chile terrifying earthquake make clear need take climate change seriously	train	0
chile fire people evacuated	train	0
animation tsunami northern chile earthquake hawaii advisory washington post blog	train	0
glad know family well	train	0
next hour speak w relief worker ground last night tune live	train	0
continuing news released following earthquake chile morning	train	0
second shake chile	train	0
disaster research unit follow close development emergency	train	0
mail chile hit tsunami least five dead prison inmate escape six foot wave triggered	train	0
tsunami warning map huge earthquake today chile	train	0
video tsunami siren blare chile following earthquake	train	0
magnitude earthquake chile killed people last night scientist say worst may still come	train	0
heading sleep briefly bed luxury thousand tonight wait danger pas	train	0
trend nonsense thing let u trend something relevant xx	train	0
usgs upgrade earthquake chile coast pacific tsunami warning centre say destructive tsunami thre	train	0
watch animation show amplitude wave series via noaa	train	0
think chile fan chilean need help	train	0
expert say chile due giant earthquake science	train	0
major earthquake hit chile killing several people triggering tsunami watch detail sk time gx news	train	0
massive deadly earthquake tarapaca shore northern chile people killed seriously injured	train	0
another example strong stand eq saving life amp protecting home	train	0
larger earthquake expected shake chile	train	0
powerful earthquake hit chile trigger tsunami disaster declared chile quake april	train	0
look animation show chile tsunami rippling pacific ocean	train	0
prayer go chile expecting tsunami lord bless hope nothing happens havin prayer	train	0
hawaii tsunami advisory minute ago	train	0
oooooo char going ibiza exciting x	train	0
earthquake hit northern coast aftershock hit tsunami warning effect	train	0
new f l l w e r gt ban sunglass monster beat	train	0
thinking friend evacuated along western cost south america hoping warning end way	train	0
thought poor people affected	train	0
yes know like week left	train	0
best idol thank love	train	0
hope everyone safe earth quake going prayer	train	0
chile earthquake time stronger northridge quake stronger weekend la habr	train	0
everything going alright	train	0
emergency director chilean tv precautionary evacuation coastal area chile magnitude earthquake	train	0
magnitude aftershock earthquake rocked chile setting tsunami warning	train	0
earthquake chile total shock	train	0
earthquake preparedness month ready	train	0
desperate evacuating risk check video collective hysteria	train	0
let u argumentative master colossian ephesian titus	train	0
chile national emergency asking everyone evacuate south american nation coast	train	0
ok getting weird earthquake iquique chile via	train	0
maximum wave height forecast	train	0
wht happen chile	train	0
news read today heart break	train	0
warning amp canceled	train	0
sight pope john paul ii statute photo robert kinkley	train	0
dead powerful quake strike chile coast powerful earthquake preliminary magnitude	train	0
magnitude shock mile south	train	0
chilean president evacuated safe zone coastal city arica touring damage major earthquake tuesday	train	0
big earthquake tsunami warning chile beg please pray u worried	train	0
usgs reporting magnitude earthquake chile coast km sw weaker last night much closer shore	train	0
glad earthquake happened chile live care kid next psychology	train	0
fuerza mi queridos chilenos strong chile	train	0
