Tweets	partition	Topics
norway maximum security prison cell fridge flat screen tv metal fork really hung whol	train	0
deutsche welle dozen killed monsoon flood ravage india nepal	train	0
long ride escape flooding ashigarh northeast india afp via	train	0
score killed flooding nepal india via nytimes	train	0
wake nap full chicken dinner ahhh yeaaaaah	train	0
indian cuisine orlando open flood gate	train	0
nepal flood toll hit fear disease rise	train	0
girl shot dead father marrying wish father killing daughter welcome india	train	0
odisha flood kill leave villager marooned	train	0
villager village need assessment post flood	train	0
many dead nepal india flood	train	0
still get people wake unless take bus shitty school wake	train	0
flood landslide kill nepal india announces million relief fund flood landslide kill	train	0
hundred dead monsoon brings chaos northern india nepal	train	0
hundred dead monsoon hit india nepal	train	0
score killed flooding nepal india	train	0
expect many unprecedented till flood r progressing poor nature dsn know react	train	0
flood india kill leave million homeless agi new delhi aug flood	train	0
flood wash away home aug et	train	0
latest odisha flood killed lakh people affected water level start reducing daily new	train	0
nepal india flood kill nearly	train	0
hundred dead monsoon brings chaos northern	train	0
flood fury uttarakhand assam bihar lakh displaced via zee news	train	0
death toll rise lakh people affected	train	0
disaster ignored medium obsession growth business rhetoric continues	train	0
deadly monsoon hit india nepal dozen people killed flooding norther	train	0
score killed flooding nepal india joe liotine lifetime	train	0
go watch new video give thumb subscribe already	train	0
yea yea better dem butch last night lined ready	train	0
problem stay mad always end forgiving people even deserve	train	0
monsoon flood nepal india death katmandu nepal death toll three day floodi	train	0
odisha flood leave people homeless kolkata flood indian state odisha killed	train	0
lift aww tired baby	train	0
monsoon kill hundred india nepal dozen people killed flooding northern eastern	train	0
punchnews death toll india landslide rise death toll landslide flooding triggered	train	0
new lec postgraduate course help stem tide flood devastation uk jba consulting	train	0
dozen killed monsoon flood ravage india nepal	train	0
happy birthday look got	train	0
monsoon flood death maroon village sweep away straw hut	train	0
headline many dead nepal india flood least people reported kil follow warren	train	0
rain fury north india killed flood alert bihar rajnath singh two day visit uttarakhand reviewed th	train	0
flood kill people	train	0
money eaten akhilesh govt meant desiltation main reason behind flood govt shld b charged loss	train	0
chinese bank step property lending	train	0
brahmaputra flood inundate kaziranga national park northeast news india today via	train	0
govt face flood demand bharat ratna via	train	0
score killed flooding nepal india	train	0
killed including sleep landslide hit india heavy downpour india triggered land	train	0
landslide flood kill people displace thousand nepal india via global calcuttan	train	0
lowkey love clingy want get mad stupid stuff blow phone make feel wanted	train	0
score killed flooding nepal india home damaged rou	train	0
cousin advice school call every time pick phone make sure put indian accent say wrong number hahahahaha	train	0
asia monsoon kill hundred india nepal dozen people killed flooding	train	0
check article dead flood wash away home nepal india	train	0
flood situation bihar remains grim ndrf team deployed relief operation	train	0
informationnigeria killed including sleep landslide hit india heavy downpour india tr	train	0
dead nepal india flooding	train	0
like straight people want tell feel feel	train	0
dozen killed monsoon flood ravage india nepal people killed fl	train	0
many dead nepal india flood	train	0
bihar family killed train hit auto hindustan time time indiabihar family killed	train	0
deadly monsoon hit india nepal dozen people killed flooding northern easte via	train	0
score killed flooding nepal india home b shaquille	train	0
latest flood fury uttarakhand assam bihar lakh displaced zee news zee newsflood fu	train	0
people reported killed flood landslide following torrential rain nepal north india	train	0
hundred thousand people affected torrential rain flooding northern eastern india	train	0
flood fury uttarakhand assam bihar lakh displaced	train	0
flood ndrf team deployed bihar press trust india	train	0
hundred dead monsoon brings chaos northern india nepal	train	0
wreak havoc across economic time	train	0
nepal india begin relief effort monsoon flood claim least life nepalese villager carry thei	train	0
swinging blunts round sun till sun	train	0
taliban laud afghan soldier killed u general india better know	train	0
singapore asiaone nepal flood death toll climb kathmandu india death toll landsli	train	0
newshonour killing girl shot dead father	train	0
flood situation assam grim toll rise	train	0
fresh j still	train	0
bbc many dead nepal india flood	train	0
flood like situation jaipur sub urb	train	0
many dead nepal india flood	train	0
ettn monsoon flood hit north india village water thousand marooned village wh	train	0
villager village need assessment post flood	train	0
indian medium damage caused flood incessant rain caused river overflow uttar pradesh bihar	train	0
monsoon dozen people killed flooding northern eastern india dea	train	0
monsoon kill hundred india nepal dozen people killed flooding	train	0
tired asf mom pick late compton	train	0
monsoon flood nepal india death maroon village sweep	train	0
brand new video apps real life check gt please thumb amp follow dm today	train	0
lakh people affected flood join hand support	train	0
dead nepal india flood thousand displaced	train	0
killed nepal india flood day torrential rain	train	0
going tweet picture michael clifford pic get add vote	train	0
killed two injured train hit autorickshaw bihar outlook wire	train	0
nepal india flood leave many dead bbc news bbc newsnepal india flood leave	train	0
killed including sleep landslide hit india ukraine say	train	0
