Tweets	partition	Topics
plan remove encroachment	train	0
death toll climb	train	0
fracturing harmony among province punjab govt reject r million offered kpk govt flood	train	0
jammu amp kashmir facing worst flood year death toll touch	train	0
five day heavy rain left dead pakistan kashmir	train	0
anger mount indian kashmir worst flood century	train	0
embarrassing dead worst flood sex decade	train	0
appeal people pakistan play part effort rescue flood victim ht	train	0
etp markandey katju make global appeal extend help flood hit jammu kashmir besides purifying tabl	train	0
toll pakistan india flood rise news publish	train	0
alert multan pakistan flood river peak via r worldnews	train	0
punjab government release r million flood hit district	train	0
flood nawab bazaar zaldagar submerging people panicked terrorized battery low	train	0
r vhp cooking food laced hindu conversion medicine kashmiri stuck flood	train	0
jammu kashmir flood telecom service slowly restored	train	0
army medical team deployed jammu kashmir assist sick injured flood victim	train	0
flood tragedy kashmir much srinagar water village submerged pix tell stark reality	train	0
goosebump kashmiri woman recites quran flood water reach second floor house	train	0
andrew north join rescue worker pakistan still searching people trapped week damaging flood	train	0
sad due flood kashmir hope heaven ok soon	train	0
every year hope would better arrangments handle flood every year fail	train	0
million affected flood	train	0
flood relief update personnel rescued jammu amp srinagar region	train	0
flood relief operation slow people left fend http	train	0
pettiness pusillanimous let india set kashmir free amp muslim flood billion	train	0
kashmir flood tireless service battalion boat	train	0
million people live indian kashmir enduring terrible flood helicopter rescue people amp deliver aid	train	0
want kashmiri army democratic people republic kashmir refuse acknowledge alien flood flood oh well	train	0
j amp k battling worst flood decade chance help need htt	train	0
flood rain kill pakistan one million affected via	train	0
flood water submerge swathe kashmir dead flood water submerge large swathe kashmir dead	train	0
latest jammu amp kashmir flood people saved tweet indian army zee news ze	train	0
village affected flash flood	train	0
india pakistan flood kill nearly	train	0
r crore loss j amp k economy due flood assocham	train	0
nairapark anger grows amid flood disaster kashmir independentngr	train	0
kindly google person finder kashmir flood rescue relief form	train	0
kashmir flood golden tempale	train	0
dna hrithik roshan raise fund jammu kashmir flood victim bollywood star hrithik roshan joined	train	0
please make dua people suffering flood try help people way possible	train	0
pm modi leaf jammu kashmir review ass flood situation	train	0
super flood india pakistan really focused mind matter modi sharif share relief offer	train	0
bravo pm arrived rawalakot visit flood hit area azad jammu amp k	train	0
block internet cellphone stop world seeing india inability deal historic flood occu	train	0
aunt amp cousin stuck raj bagh srinagar kashmir flood water reached first floor	train	0
lakh still trapped centre asks list rescued	train	0
jammu kashmir reel flood hurriyat leader nowhere seen via	train	0
flood related death exceed india pakistan canadian underwriter	train	0
seriously relief talked mom n brod week safe thanx almighty	train	0
india pakistan flood kill nearly landslide flash flood triggered heavy monsoon rain k	train	0
death toll flood india pakistan reach authority warn flooding	train	0
witnessing right flood crossed jehlum park polo view bund ya allah reham	train	0
landslide add misery kashmir worst flood decade via	train	0
german embassy holding concert aid flood hit kashmir new delhi sep ians german embassy org	train	0
india pakistan flood toll rise	train	0
parvez rasool family safe	train	0
kalabagh dam debate extremely intelligent anchor someone tell kbd built indus flood punjab h	train	0
thousand still stranded flood hit kashmir	train	0
god forbid yamuna flood delhi ncr submerge like kashmir mindless cutting yamuna eway dwarka eway gurgaon ext	train	0
give lebon prize exact opposite nobel hafiz saeed blame india pakistan flood call wate	train	0
pmo official contribute one day salary flood affected people jammu kashmir	train	0
shameless pig didnot even condemn kashmir flood eye bjp forming govt delhi fuck	train	0
pak army chief appreciates rescue flood victim pakistan news chief army staff coas general ra	train	0
google person finder launched	train	0
pathetic condition flood affected people area threatened	train	0
satellite image show jammu kashmir submerged underwater flood photo	train	0
kashmiri muslim flood victim appeal pm modi send relief package thro indian army amp corrupt	train	0
proudly serving pakistan satisfaction helping countryman time need help flood victim	train	0
indian dam chenab jhelum flood pakistan john briscoe	train	0
galert resident huddle rooftop india pakistan flood	train	0
affect one million	train	0
omar abdullah order doubling ration flood hit state jammu kashmir chief minister omar abdullah h	train	0
find help twitter lending helping hand victim kashmir flood via	train	0
pakistan evacuates thousand flood hit plain news amp world report pakistan	train	0
least dead flood rescue boat capsizes pakistan least dead flood rescue bo	train	0
pls help jammu flood victim medium n cm helping kashmir people rather jammu face	train	0
worst flood year hit kashmir relief operation major challenge	train	0
flood coming kashmir sonam film heroine amit shah president bjp sajid khan director sab ulta	train	0
embrace social medium aid flood victim kashmir nida najar ellen barry via nyt new york time	train	0
pm visit flood hit area sialkot	train	0
hope pray flood situation kashmir get controlled sooner soon	train	0
corporate sector extends support flood affected people jammu kashmir via	train	0
jammu kashmir flood air india declares free travel trapped tourist	train	0
punjab kpk must come together build kalabagh dam help flood control power ge	train	0
wrath nature tell u weak amp fragile r flood discriminate betweenhindus muslim pakistani indian	train	0
people flood affected area poonch j amp k provided healthcare relief material	train	0
mqm charity wing setup flood relief camp punjab	train	0
pakistan india flood death toll pass	train	0
j amp k flood journalist doubled rescue worker saved life	train	0
punjab flood dashboard another landmark achieved visit real time monitoring	train	0
million spider climbed tree escape rising flood water pakistan look	train	0
scene rescue operation indian armed force flood ravaged area jammu amp kashmir	train	0
jammu kashmir flood nearly dead pm visit state today nearly died jammu kashmir	train	0
