Tweets	partition	Topics
keep faith alive lord	train	0
view breakdown available quick response fund qrfs per department preparation ruby	train	0
best weapon typhoon alert prepared mind let fear superstitious belief dominate heart	train	0
ngo worker entertain kid evacuation center	train	0
super typhoon look reach maximum potential intensity philippine prepare landfall amp focu	train	0
please specific say slightly weakens give u number	train	0
class level today	train	0
looking volunteer help gather critical info	train	0
calbayog waterfront nears	train	0
year haiyan devastation new super typhoon threatens philippine	train	0
signal cavite please pray u	train	0
save emergency hotlines phone case stay safe everyone	train	0
sitting bed cup tea thinking bout catbalogan	train	0
landfall hr eastern samar ct	train	0
breaking pm today typhoon made landfall dolores eastern samar	train	0
praying maddians affected typhoon philippine f	train	0
thank god ruby hit hard	train	0
philippine typhoon hagupit make landfall thousand flee	train	0
manila suspends class level tomorrow via	train	0
typhoon support unicef relief effort	train	0
hey website experiencing load shedding	train	0
advisory via last mrt train shall leave north ave stn pm today last train taft ave stn	train	0
list class suspension philippine monday december	train	0
stay home keep safe everyone prayf	train	0
typhoon hagupit slam eastern philippine	train	0
people flee home typhoon hagupit	train	0
people smiling shelter place called sabang resident waiting	train	0
sweater weather indeed	train	0
pagasa pm december weakened moving toward batangas	train	0
according pagasa typhoon expected third landfall sibuyan island tomorrow	train	0
icymi emergency contact information remember ahead	train	0
typhoon hagupit threatens major flooding manila	train	0
typhoon may affect million people	train	0
batangas province storm signal high alert vice gov tell	train	0
eye storm pagasa get hagupit right	train	0
bangko sentral suspends clearing operation today december due	train	0
gov work class level suspended region b metro manila palace	train	0
business establishment downtown tacloban city closed due typhoon via	train	0
typhoon please dear god survivor prayer	train	0
ca tc canada ready help philippine typhoon impact needed oliver	train	0
video typhoon make landfall hour	train	0
assist tuesday food distribution via	train	0
ruby mean r revenge unfinished b business yolanda oh nooo wag naman sana keep safe guy	train	0
city gov sennds another batch relief good brgys quiot amp sudlon evac center	train	0
power since pm catarman office globe signal faltering smart still stable	train	0
class level amp gov work region iv iv b ncr suspended december	train	0
typhoon hagupit slam philippine one million evacuated	train	0
safe stay safe	train	0
bbc news typhoon hagupit bbc crew prepares enter eye storm	train	0
amen gbu please include region prayer god bless u	train	0
important hotlines regional office philippine national police pnp	train	0
misor alert level c hagupit approach phl	train	0
trending whut stay safe guy	train	0
mt stand solidarity sympathy climate justice typhoon	train	0
oxfam rapid assessment team survey immediate need evacuee	train	0
reign pore lol seriously hagupit thing freaking hell keep safe everyone	train	0
power communication tomorrow sure	train	0
pagasa typhoon seems stranded catarman n samar dolores e samar since first landfall	train	0
work cancelled today field plant office based unilab employee gma amp affected area	train	0
correspondent say nowhere near powerful last year typhoon	train	0
photo philippine lashed typhoon hagupit large erratic typhoon hit	train	0
class suspension tomorrow stay safe	train	0
prayer area affected selfless medium health disaster response volunteer personnel	train	0
landslide block highway eastern samar	train	0
philippine typhoon weaker still hazardous	train	0
action taken national government philippine	train	0
typhoon hagupit tear way central philippine irish time	train	0
signal pm dec zambales pampanga tarlac bulacan rizal rest quezon rest mindoro provi	train	0
rizal province class level suspended tomorrow december via	train	0
let u continue praying continues weaken least kph least kph still	train	0
god make thing possible keep praying	train	0
list flood prone street yellow rainfall advisory effect	train	0
announcement province laguna class tomorrow dec level	train	0
pagasa expected make landfall satuday night sunday morning eastern norther samar	train	0
alright manila come	train	0
know road impassable due let u know help guide relief convoy	train	0
please help prepare typhoon	train	0
plm president dr leonora de jesus suspends class administrative work plm tomorrow	train	0
typhoon hagupit send shiver hall lima conference oxfam	train	0
incourange everyone take ligo challenge xd	train	0
primary concern typhoon hagupit travel philippine copied cnn	train	0
t right smack top u yes torrential red bit lol	train	0
philippine manila brace storm typhoon hagupit leaf dead	train	0
tc update pm dec typhoon ruby located km east catarman northern samar n e	train	0
nothing impossible come prayerful nation lumiliit lalo ang bagyo thank lord	train	0
update midnight december stranded due pax vessel rolling cargo mbcas cancelled trip	train	0
signal negro oriental negro occidental southern cebu misamis oriental agusan del sur camiguin	train	0
signal cavite bkeep safe everyone	train	0
manila declares class tomorrow manila bay fronting roxas boulevard still calm via	train	0
video typhoon hagupit brings mph wind	train	0
crazy typhoon hagupit pummels philippine threatens flooding landslide cnn cnntyphoon hagupit pu wt f	train	0
although longer super typhoon still dangerous detail ht	train	0
take care safe always pray god	train	0
dead k evacuate typhoon slam philippine	train	0
signal cavite keep safe everyone	train	0
rain lash disaster weary philippine typhoon nears	train	0
dragon class tomorrow level per mayor maribel eusebio staff please wait announcement	train	0
educate color coded warning	train	0
yet another natural disaster year prayer victim typhoon donate help relief service	train	0
painful situation philippine reminds u urgency act	train	0
pm et rain already fallen catbalogan island samar philippine htt	train	0
hagupit categorized super typhoon prepared pray hard nothing powerful natio	train	0
paskuhan festivity moved december	train	0
typhoon hagupit smash philippine death recorded interior secretary	train	0
typhoon brings strong wind rain typhoon hagupit	train	0
preparing emergency food checklist help	train	0
weather absolutely fine windy	train	0
class resume tomorrow wednesday december safe nrmf	train	0
army let u pray philippine army news typhoon hit philippine hope phillipines amp bts wil	train	0
facing typhoon much scarier alone gone home	train	0
good night safe everyone	train	0
typhoon hagupit hit philippine heavy rain concern	train	0
updated pm today psws ty added area signal negro oriental occidental amp guimaras	train	0
mar roxas live anc hometown borongan eastern samar	train	0
nice picture super typhoon night foreground	train	0
good morning keep safe everyone	train	0
nasa analyzes super typhoon hagupit rain wind philippine approach source comment via r pic	train	0
dear please gtfo leave beautiful cold weather	train	0
batangas city class level suspended tuesday december	train	0
reactivity proactivity philippine learn prepares	train	0
ocd landfall within hour power area samar albay sorsogon tacloban cell phone signal getting scratchy	train	0
class level still suspended tomorrow dec pls guided keep safe	train	0
praying kababayans affected stay safe everyone god u f	train	0
philippine typhoon w hagupit short summary december report	train	0
accord shelter brgy bocawon brgy mag aso la paz leyte survived strong wind	train	0
announcement december monday feast immaculate conception	train	0
mmda chairman francis tolentino metro manila mayor ready anticipated effect ncr	train	0
let u pray countryman experiencing typhoon tonight may lord guide challe	train	0
breaking jtwc upgraded super typhoon max sustained wind mph ht	train	0
typhoon hagupit people flee safety eastern philippine	train	0
rain lash disastr weary typhoon nears	train	0
globe advisory libreng tawag station read	train	0
signal samar province nears landfall	train	0
sleep let u send prayer affected typhoon locally known http	train	0
super typhoon hagupit strengthens mph max wind storm track toward philippine jtwc report	train	0
draw near country reminded useful hashtags	train	0
borongan city early morning	train	0
philippine capital brace storm hagupit leaf dead manila reuters death toll typhoon	train	0
god u always thank lordfmy family safe typhoon ruby k hagupit keep safe everyone	train	0
power prayer great amp good god need ask thank jesus love grace amp goodness	train	0
ever wondered typhoon violent looked like space	train	0
class work level tomorrow december monday due ty stay safe adamsonians	train	0
heavy rain continues slam u make way landfall area dolores samar	train	0
utc mtsat visible satellite image w z jtwc advisory super typhoon e philippine amp intensifying	train	0
philippine rescuer struggle reach village typhoon folded home like paper dolores philippine	train	0
bombing gone super forecast become cat already	train	0
project noah say made landfall eastern samar	train	0
part help affected hagupit get back foot quickly possible	train	0
supposedly going north tacloban flood pm dec	train	0
typhoon hagupit seen orbit	train	0
go go go away	train	0
philippine typhoon strike nation activist discus climate action peru japan time	train	0
update philippine may seek rice import typhoon reuters	train	0
photo dilg secretary eastern samar lead nat l government frontline team	train	0
infographic instruction make safe drinking water	train	0
work class unit suspended tomorrow december monday due inclement weather	train	0
anc pagasa press conference	train	0
ohhhh noooo comin town	train	0
signal raised metro manila pagasa	train	0
press release ready respond	train	0
mt storm likely tracking south city even still expect tropical storm	train	0
philippine prepares typhoon hagupit sydney morning herald	train	0
ir head mission ground evacuated family	train	0
stay safe everyone god bless u	train	0
hit year part building greater resilience htt	train	0
philippine hit typhoon	train	0
talkback batangas gov vilma santos say san juan amp rosario power due	train	0
