Tweets	partition	Topics
pam sowder mark pentecost mike potillo nathan timothy dempsey team hustling headed	train	0
waiting cyclone pam pas lmao	train	0
israaid send official supply alleviate devastated vanuatu island	train	0
show much need investment effective risk reduction	train	0
international community need help bbc news devastates south pacific island	train	0
latest bbc news first aid reach island ravaged cyclone	train	0
news cyclone nathan slam north queensland cooktown spared disaster	train	0
australian tourist relieved return home praise response local	train	0
kind shoe wear sa converse star lynn pam star program star	train	0
come let u show pam love wish happy birthday outside oyster roast noon	train	0
people confirmed dead pacific island nation vanuatu destruction tropical cyclone pam unicef said	train	0
sending thought amp prayer people vanuatu	train	0
cyclone lash queensland pm	train	0
police shoot cyclone pam hit vanuatu fundraiser one dead	train	0
lawrence bahor survived vanuatu please read amazing story amp donate	train	0
anguised mother told heard daughter since tropical cyclone tore vanuatu	train	0
funniest guy guy basically king love melanin twitter us pam female activist	train	0
vanuatu president urge world help rebuild everything	train	0
cyclone pam hit new zealand dominion post	train	0
pam arrived customer ed	train	0
problem everyone want visibility everyone want sign put vanuatu slam aid agency	train	0
vanuatu islander running food water cyclone huffington post	train	0
c vanuatu clothes	train	0
initial emergency food assistance reported reached close people	train	0
pam keep log everything michael hour hour analyze corporate jan levinson htt	train	0
climate change intensifying risk hundred million people ban	train	0
devastating tropical cyclone damage housing vanuatu capital	train	0
vanuatu cyclone damaged capital house oxfam say	train	0
text pam donate	train	0
cyclone nathan made landfall ne australia queensland knot min jtwc strong cat equiv hurricane	train	0
help thousand displaced victim	train	0
vanuatu vanuatu condition difficult philippine typhoon business insider	train	0
looking pam office found	train	0
thinking people awfull xxx	train	0
contraction maria pelaez rio sasha varner pam owen caroline quad finished nd x relay karns	train	0
packing wind mph cyclone pam tore vanuatu island early sat leaving destruction amp report dozen de	train	0
vanuatu president despair cyclone pam damage vanuatu presid	train	0
internet vanuatu go cat devastates small island nation	train	0
fix indian country afn mafia like pam palmater phil fontaine leading people astray personal ga	train	0
mother still awaits news daughter missing cyclone pam	train	0
flew port vila today see work done australian personnel	train	0
calling volunteer suva fiji please contact need help packing emergency supply send	train	0
oxfam staff port vila reported complete destruction home amp small community barely house left st	train	0
tropical cyclone pam hit vanuatu	train	0
cyclone vanuatu rebuilds foreign aid delivery relief supply vanuatu battered island	train	0
jtwc tropical cyclone olwyn warning wtxs pgtw z posit near e moving	train	0
make devastation caused headline news please	train	0
extremely resilient vanuatu rebuilds cyclone pam island nation move forward	train	0
vanuatu vanuatu tropical cyclone pam situation report march	train	0
dtn new zealand cyclone pam around region cyclone pam move south east expected bring heavy	train	0
aid arrives cyclone hit vanuatu	train	0
house destroyed tree snapped half amp communication wreaks havoc	train	0
available relief effort amp protection vulnerable people especially woman child	train	0
vanuatu country forced start scratch	train	0
pam married grown as child	train	0
vanuatu struggle mop	train	0
series screenshots captured cyclone pam forming heading south vanuatu nz	train	0
last quote pam beasley halpert	train	0
yes sir know dealing w cyclone	train	0
wed love support appeal k kid need urgent help donate	train	0
fly safe pam	train	0
devastates regional disaster scheme help fund gvt rebuilding effort	train	0
uff caught category five cyclone head towards vanuatu nbcnews comca	train	0
vanuatu cyclone pam moving away vanuatu weather channel update engl	train	0
cyclone pam aid flight arrive storm ravaged vanuatu first shipment aid landed vanuatu sun	train	0
one time south pacific cyclone well pleased meet	train	0
favorite group photo u pam jim wedding episode	train	0
jim pam reactionsdddd	train	0
climate change blame devastating cyclone say president vanuatu	train	0
minister defends vanuatu aid budget	train	0
cyclone pam vanuatu resident begin search family home	train	0
unicef new zealand said cyclone pam could devastating result thousand across region	train	0
n fear worst typhoon batter vanuatu	train	0
follow update response following devastating	train	0
aid effort stepped monster vanuatu cyclone daily mail	train	0
bdj italo disco f amp pam beat	train	0
sale auto literature mercury ford cyclone gt password action	train	0
series assistance map statistic division	train	0
hey pam sorry hear struggled seating future planning reserved seating	train	0
really like pam smith new song sway	train	0
world vanuatu face food shortage cyclone pam devastates crop	train	0
donate international red cross amp red crescent society especially help people vanuatu hurt typhoon pam	train	0
cyclone hit last night power fine	train	0
proud cyclone b	train	0
