Tweets	partition	Topics
important please announced free call	train	0
people killed india nepal earthquake union home secretary	train	0
devastating earthquake people nepal sleep street park	train	0
nepal earthquake footage everest avalanche hit youtube hollywood reporter	train	0
bad news time dera sacha sauda stand victim people nepal	train	0
tension rise nepal weak response deadly quake	train	0
prevent natural disaster prevent gorkhas died india turn help nepal bou	train	0
prayer affected emergency campaign set	train	0
mobilised resource support nepal wake devastating earthquake defence minister manohar parrikar pt	train	0
also hit hard china daily report building nyalam county damaged foreign press barred f	train	0
passenger tg flight kathmandu arrived back attempt tr	train	0
latest nepal protester complain aid reached free tool online	train	0
yare aftershock jolt nepal rain hamper aid worker hindustan time hindustan timesmore yare	train	0
life short uncertain mother nature mercy	train	0
official say death toll massive surpassed	train	0
one time quake biratnagar nepal injury head back god please save u	train	0
today take moment silence send well wish affected earthquake nepal	train	0
paf c aircraft carrying relief supply reach quake hit	train	0
one bbc news fb post last weekend nb page k fan nepal million india	train	0
help affected donate	train	0
bruce jenner still front page yahoo people died earthquake nepal morning	train	0
ever dependable heroism armed force fore nepal god bless	train	0
idaho native nepal reassure relative wake earthquake	train	0
delegation incl seema malhotra mp came see team heathrow tonight way kathmandu http	train	0
nepal hit home man	train	0
tremor felt nepal team leave shortly	train	0
bbcworld bbcsanjoym think body buried japanese rescuer	train	0
unesco heritage landmark amp maju deval dharahara tower	train	0
earthquake estimated magnitude shook nepal saturday near capital katmandu	train	0
fantastic message support lovely know dan amp team delighted	train	0
difference amp kcr time kcr amp co walk talk rather shooting mouth	train	0
thnx chinese vulture wld prey along evangelist proselytizers sending ndrf company real maternal bond	train	0
relief team ground next hour provide aid f	train	0
bbc news sentinel satellite reveals nepal quake movement	train	0
race time people still trapped inside generously	train	0
finally read indian express published lolol modi even know caste breakup every village nepal hahaha oh	train	0
keeping nepal baltimore prayer tonight	train	0
let u keep thought prayer fellow human being nepal need support get	train	0
kathmandu airport parking space flight holding amp waiting turn	train	0
nepal earthquake hrithik roshan praise global aid stricken country heartening u pakistan china australia india	train	0
devastating nepal earthquake kill hundred trigger avalanche powerful	train	0
nepal quake key information known time death toll climbed aftershock continued day	train	0
next hr critical amp rescue effort complicated terrain	train	0
magnitude quake hit nepal causing big damage injury get	train	0
land small nepal nepali hindu demanding burial land christian community along	train	0
c stand solidarity government amp people nepal grapple effect th	train	0
want donate effort get touch fam reddit thread offer info h	train	0
woken hear nepal tragedy heart go family	train	0
always swayamsevaks amp army saw rescue work j amp k garhwal flood	train	0
elca already responding people nepal read	train	0
jong reminded sewol tragedy key posted earthquake nepal proud boy lt	train	0
german french rescue team way nepal german rescue	train	0
believe hardly seen coverage busy quake death toll could reach shocking sad	train	0
press release call greater urgency relief effort survivor	train	0
world strongest since	train	0
along baltimore heart go life lost many others searching family member healing	train	0
prayer going nepal	train	0
vodafone prepares launch emergency network backpack nepal kg mobile network set	train	0
unaware earthquake nepal killed people	train	0
pakistan stand nepal time need pm n sent special plane carrying relief good soon kathmandu airpor	train	0
wow really sad happening nepal rek paul	train	0
expert warned decade nepal vulnerable killer quake	train	0
nepalese civil society far biggest responder largely ignored internationa	train	0
miracle rescue see baby pulled safely quake rubble nepal	train	0
india evacuates air land foreign national ht	train	0
annapurna base camp camp note	train	0
first day field hospital treat nearly delivers baby	train	0
least indian reach raxaul bihar earthquake hit nepal	train	0
earthquake crust earth violently roar life chile nepal vi	train	0
st survivor avalanche everest base camp flown nepal capital injury deemed life threatening	train	0
yes govt work india safe hand amazing speed rescue relief reaction	train	0
state dept confirm citizen died nepal april u express deepest condolence family amp friend victim	train	0
nepal airline slaughter goat front fboeing fix technical fault	train	0
morgan silver dollar rare collector raw u coin	train	0
board indian air force chopper mission earthquake hit nepal	train	0
buy album fund raised support red cross relief fund victim nepal earthquake	train	0
want work positively india help nepal china zee news	train	0
event hope april th may pm	train	0
national helpline national disaster management authority nepal earthquake open number	train	0
powerful aftershock jar katmandu nepal quake toll rise magnitude aftershock rumbled katmandu sent	train	0
major earthquake last thing nepal needed initial damage estimate b	train	0
almost child need help responding txt child donate	train	0
nearly million child require urgent humanitarian assistance	train	0
backpacking cousin last heard wednesday headed kathmandu phoned home safe de	train	0
becoz people coming back safely india nepal	train	0
iaf helicopter flying almost non stop since morning	train	0
text nepal unicef donation	train	0
proud government armed force effort nepal prayer everyone affected traged	train	0
earthquake nepal heartbreaking starting today call text nepal free charge	train	0
one come nepal villager wait aid flow beyond capital world news guardian	train	0
ciaa govt amp people humanitarian mission rescue relief share relieve tear sorrow caused http	train	0
better know relief work ndrf amp indian army meant hlp people promoting amp accumulating bill	train	0
brave people work rebuild recover u help	train	0
henry participating unicef doll auction help nepal child detail	train	0
