_unit_id	_golden	_unit_state	_trusted_judgments	_last_judgment_at	please_choose_a_category:confidence	created_at	id_str	rownames	please_choose_a_category	text		
1846692712	FALSE	finalized	3	08/03/2018 20:23	0.6664	Mon May 14 22:49:14 +0000 2018	",996160536487358464,"	79959	direct_eyewitness	" TheReformedCrow Nah, I'm gonna go with earthquake. "		
1846692769	FALSE	finalized	3	08/03/2018 20:46	1	Tue May 15 02:19:00 +0000 2018	",996213327398289408,"	99307	direct_eyewitness	I think we just had an earthquake		
1846692882	FALSE	finalized	3	08/03/2018 21:36	1	Tue May 15 02:19:12 +0000 2018	",996213376370950144,"	99629	direct_eyewitness	Uhh who else felt that earthquake tho		
1846694004	FALSE	finalized	3	08/03/2018 21:10	0.358	Tue May 15 02:20:41 +0000 2018	",996213749903077376,"	102406	direct_eyewitness	Bay area just had a nice size earthquake		
1846693321	FALSE	finalized	3	08/03/2018 20:37	1	Tue May 15 02:19:43 +0000 2018	",996213508357279744,"	100701	direct_eyewitness	Thought my dad was farting...turns out it was an earthquake		
1846693228	FALSE	finalized	3	08/03/2018 20:38	1	Tue May 15 02:19:37 +0000 2018	",996213480922300416,"	100498	direct_eyewitness	earthquake!?		
1846692585	FALSE	finalized	3	08/03/2018 21:01	1	Tue May 15 02:19:11 +0000 2018	",996213374546464769,"	99619	direct_eyewitness	BITCH..... was that an earthquake!?		
1846693541	FALSE	finalized	3	08/03/2018 21:08	1	Tue May 15 02:20:00 +0000 2018	",996213576472776705,"	101220	direct_eyewitness	"Holy shit, just felt an earthquake in the California Bay Area.  That Warriors vs Rockets game is INTENSE!"		
1846693011	FALSE	finalized	3	08/03/2018 20:52	1	Tue May 15 02:19:21 +0000 2018	",996213415629570048,"	99970	direct_eyewitness	i believe a small earthquake just happened 		
1846693796	FALSE	finalized	3	08/03/2018 20:46	1	Tue May 15 02:20:17 +0000 2018	",996213649327833088,"	101747	direct_eyewitness	it was jus a fxckin earthquake 		
1846693790	FALSE	finalized	3	08/03/2018 19:36	0.6562	Tue May 15 02:20:16 +0000 2018	",996213646962327553,"	101730	direct_eyewitness	Listening to a live podcast recording and there was an earthquake. Quickest way to news is to listen to live podcasts.		
