_unit_id	_golden	_unit_state	_trusted_judgments	_last_judgment_at	please_choose_a_category_:confidence	created_at	id_str	rownames	please_choose_a_category_	text		
1830763346	FALSE	finalized	3	7/26/2018 12:30:49	1	Sat May 07 07:17:21 +0000 2016	",728846163798020096,"	50034	direct_eyewitness	Damn this Canadian Wildfire got the whole city smelling like a bonfire		
1830764158	FALSE	finalized	3	7/26/2018 11:16:12	0.6493	Tue Oct 10 18:41:33 +0000 2017	",917822427903623168,"	3296	direct_eyewitness	"Devastating to see such widespread destruction anywhere. But when you're close enough to see and smell the smoke, i  https://t.co/ENwPcgbmeN"		
1830764254	FALSE	finalized	3	7/26/2018 11:24:49	0.6678	Tue Oct 10 19:55:29 +0000 2017	",917841031520849920,"	12921	direct_eyewitness	Sonoma county is covered in heavy thick black smoke yet want us to go back to class tomorrow??? I think not https://t.co/NtGorwA3lj		
1830763975	FALSE	finalized	3	7/26/2018 10:40:38	1	Fri May 06 19:54:26 +0000 2016	",728674301222625280,"	25149	direct_eyewitness	"Day 6 of the wildfire, Day 4 of being evacuated from my home. We are still holding on, I'm starting to break a bit #prayforrain #ymmfire"		
1830764451	FALSE	finalized	3	7/26/2018 11:28:34	0.6643	Wed Oct 11 01:44:08 +0000 2017	",917928772535336960,"	31608	direct_eyewitness	I guess the smoke from the wildfires here in California is making for an epic sunset tonight. https://t.co/QRPw1cmyIi		
1830763830	FALSE	finalized	3	7/26/2018 12:35:42	0.6939	Fri May 06 16:55:26 +0000 2016	",728629254381051904,"	17774	direct_eyewitness	Massive wildfire in Alberta is creating a lot of smoke and haze downwind. See for yourself! https://t.co/r70scUai2m		
1830764190	FALSE	finalized	3	7/26/2018 12:00:39	0.6735	Tue Oct 10 19:14:56 +0000 2017	",917830826913554432,"	7352	direct_eyewitness	This is what is happening near me... there was ashes coming down from the sky yesterday and still more smoke is cov  https://t.co/gMvFmuGgMp		
1830764478	FALSE	finalized	3	7/26/2018 11:37:20	1	Wed Oct 11 02:07:24 +0000 2017	",917934626751967232,"	33913	direct_eyewitness	So sad... I drove to the East  Bay today and the smoke is everywhere... https://t.co/MFZ1697phj		
1830763286	FALSE	finalized	3	7/26/2018 11:41:28	0.6827	Sat May 07 06:38:50 +0000 2016	",728836469293514756,"	49175	direct_eyewitness	"Oh wow, Canadian wildfire smoke has just settled over Minneapolis."		
1830764166	FALSE	finalized	3	7/26/2018 11:15:14	0.6596	Tue Oct 10 19:06:53 +0000 2017	",917828803916742656,"	6159	direct_eyewitness	"That's crazy, it was ash coming from the sky yesterday and smoke had covered the sun, turning everything orange. https://t.co/wEcYTlkxVe"		
1830763295	FALSE	finalized	3	7/26/2018 12:10:34	1	Sat May 07 06:43:22 +0000 2016	",728837612148957184,"	49255	direct_eyewitness	"Just biked an hour home in this stuff, pretty thick smoke. https://t.co/U0r8BdIyGx"		
1830763126	FALSE	finalized	3	7/26/2018 09:46:07	0.3621	Sat May 07 02:39:24 +0000 2016	",728776214945497088,"	41552	direct_eyewitness	"I was born in Fort st john moved to vancover at 8 , my hometown  is indangered , moving B.C. wildfire  https://t.co/70dhZrnH4T"		
1830763309	FALSE	finalized	3	7/26/2018 11:15:14	1	Sat May 07 06:52:28 +0000 2016	",728839901039472640,"	49443	direct_eyewitness	Be aware of the potential smelling smoke this morning across northern Iowa. #iawx https://t.co/ApGgq8632o		
