_unit_id	_golden	_unit_state	_trusted_judgments	_last_judgment_at	choose_a_category:confidence	created_at	id_str	rownames	choose_a_category	text	
1834490755	FALSE	finalized	5	7/27/2018 13:14:01	0.8022	Wed Mar 29 22:45:42 +0000 2017	",847218235002847232,"	38791	direct_eyewitness	Ex cyclone Debbie is bringing some bad weather where I am and so all schools in SE QLD are closed. So I have early holidays. YAY!!!  3	
1834490430	FALSE	finalized	4	7/27/2018 20:04:56	0.4957	Thu Mar 30 11:12:34 +0000 2017	",847406190225006592,"	53402	direct_eyewitness	We r receiving the tail end of cyclone debbie theres lots of flooding and all schools in queensland Aust have been closed the wind is wild	
1834490462	FALSE	finalized	3	7/27/2018 18:06:19	1	Fri Mar 31 01:34:08 +0000 2017	",847623008940204037,"	62651	direct_eyewitness	"Little bit late I know, Cyclone Debbie done messed up my town good - but STRIM ON - Solo Arbitrator!"	
1834490538	FALSE	finalized	4	7/27/2018 14:17:40	0.7489	Thu Mar 30 04:30:54 +0000 2017	",847305107335032834,"	44569	direct_eyewitness	'Like being in the path of a train': Our Hamilton Island holiday with Cyclone Debbie	
1834490726	FALSE	finalized	3	7/31/2018 19:17:58	1	Wed Mar 29 22:31:31 +0000 2017	",847214667973787648,"	38604	direct_eyewitness	"We have had a huge drenching in our area, the after effect of cyclone Debbie.  During a break in the weather I... https://t.co/15UmBc2E1C"	
1834491308	FALSE	finalized	4	7/27/2018 15:12:49	0.5161	Thu Mar 30 10:35:04 +0000 2017	",847396751841439746,"	52786	direct_eyewitness	Cyclone Debbie turns to sharknado as one washes up on road https://t.co/NIiXxitPYH	
1834490949	FALSE	finalized	6	7/27/2018 13:30:11	0.5034	Thu Mar 30 00:54:16 +0000 2017	",847250591118090245,"	40846	direct_eyewitness	"Don't be like me, stay inside please  2 https://t.co/4gVjYhub0g"	
1834491875	FALSE	finalized	3	7/28/2018 11:12:25	1	Thu Mar 30 07:57:00 +0000 2017	",847356972810645505,"	49833	direct_eyewitness	So my umbrella just injured me when I tried to walk Dudley in ex-tropical cyclone Debbie https://t.co/hX2ty1Nxng	
1834491017	FALSE	finalized	3	08/01/2018 14:46	0.6709	Thu Mar 30 01:17:50 +0000 2017	",847256521096404993,"	41152	direct_eyewitness	Cyclone Debbie got schools cancelled all over Queensland for two days. Let the holidays begin D	
1834490331	FALSE	finalized	4	7/27/2018 20:00:51	0.5065	Wed Mar 29 23:58:48 +0000 2017	",847236633187426306,"	39873	direct_eyewitness	See all that green? I'm somewhere under that! #FloodWatch #TCDebbie #Weather https://t.co/A6HFIswhea	
1834490572	FALSE	finalized	4	7/27/2018 15:21:36	1	Thu Mar 30 22:05:47 +0000 2017	",847570579766956032,"	60392	direct_eyewitness	Thanks to Cyclone Debbie for not only destroying my hometown but also cancelling all flights making me miss the  dixiechicks concert! ўD	
1834491654	FALSE	finalized	7	7/27/2018 13:30:29	0.729	Wed Mar 29 21:53:58 +0000 2017	",847205217154224128,"	37964	direct_eyewitness	cyclone debbie has just hit where i live so no school today. all people in queensland please stay safe C	
1834491785	FALSE	finalized	3	7/27/2018 12:55:11	0.6856	Thu Mar 30 05:13:01 +0000 2017	",847315707985444865,"	45474	direct_eyewitness	"Hot tip. Water wrecks the door and the woodwork, and your floor - which itll get under if it gets under the door jam.  #BNEstorm #TCDebbie"	
1834490532	FALSE	finalized	5	7/27/2018 12:48:02	0.424	Thu Mar 30 02:56:38 +0000 2017	",847281382774550532,"	42906	direct_eyewitness	Delighted to be fleeing Cyclone Debbie on the last flight to leave for Melbourne!! #idontlikerain https://t.co/GhUgZp1mzP	
1834491230	FALSE	finalized	3	7/27/2018 13:04:34	1	Thu Mar 30 04:45:45 +0000 2017	",847308846187945984,"	44801	direct_eyewitness	No school. 2 bed apartment. Flooding. 3.5 yo. Thanks #tcdebbiehttps://t.co/8XkY6fGNNY	
1834491877	FALSE	finalized	6	7/27/2018 15:44:10	0.5009	Thu Mar 30 07:57:10 +0000 2017	",847357017337380864,"	49836	direct_eyewitness	"Oh guess what, my state is being effected by the ex-cyclone Debbie....the leftover rain/wind is approaching..."	
1834491434	FALSE	finalized	6	7/28/2018 07:49:54	0.5117	Thu Mar 30 19:54:13 +0000 2017	",847537469000175618,"	58936	direct_eyewitness	Now the sky AND the ocean are teaming up to kill us in #Australia! https://t.co/HyFg8Us1if	
1834490347	FALSE	finalized	4	7/27/2018 20:13:13	0.7692	Thu Mar 30 02:22:27 +0000 2017	",847272781599318016,"	42322	direct_eyewitness	" Joe_Sugg Currently stuck in the aftermath of cyclone debbie, what gaming series of yours should I binge watch?"	
1834490894	FALSE	finalized	3	7/28/2018 09:14:10	1	Thu Mar 30 00:01:42 +0000 2017	",847237360181846017,"	39947	direct_eyewitness	Running into rain and wind to pick up debre had me feeling like this #tcdebbie https://t.co/eb3v8SKzTm	
1834491941	FALSE	finalized	3	7/27/2018 13:16:55	1	Thu Mar 30 10:47:31 +0000 2017	",847399885875724289,"	52994	direct_eyewitness	"Cyclone Debbie has been hitting hard all day and only getting harder. Sandbags in place, riding it out"	
1834491793	FALSE	finalized	4	7/27/2018 16:50:28	0.7586	Thu Mar 30 05:14:47 +0000 2017	",847316152896245761,"	45525	direct_eyewitness	Damn you cyclone Debbie I can't get my groceries today	
1834490788	FALSE	finalized	4	7/27/2018 13:04:32	0.7662	Wed Mar 29 22:55:23 +0000 2017	",847220673910980608,"	38935	direct_eyewitness	"Cyclone Debbie hitting Brisbane isn't all bad, just been told we don't have to go into work because it's unsafe „DD"	
1834491315	FALSE	finalized	3	08/01/2018 12:36	1	Thu Mar 30 10:35:55 +0000 2017	",847396965100904449,"	52801	direct_eyewitness	"Today has been crazy. Sitting here in the eye of ex cyclone Debbie, waiting for it to pass before the winds flare up for one last blast."	
1834490672	FALSE	finalized	3	7/27/2018 14:51:37	0.6518	Wed Mar 29 21:58:01 +0000 2017	",847206235459932164,"	38024	direct_eyewitness	All schools closed in SE QLD due to the remnants of Cyclone Debbie. This will throw today into a bit of chaos.	
1834490967	FALSE	finalized	4	7/27/2018 12:40:25	0.7455	Thu Mar 30 01:05:01 +0000 2017	",847253297090002944,"	40986	direct_eyewitness	When you get evacuated because of fucking cyclone Debbie #fuckdebbie	
1834491150	FALSE	finalized	3	7/27/2018 12:55:11	0.678	Thu Mar 30 03:48:29 +0000 2017	",847294432420417538,"	43738	direct_eyewitness	Well....Gold Coast are underwater nowA Will get back to ship on next Monday God bless FORT GolfF  #fortegolf https://t.co/hhnOSKfCqk	
1834490264	FALSE	finalized	4	7/27/2018 13:22:00	0.749	Wed Mar 29 06:04:33 +0000 2017	",846966286580113408,"	31096	direct_eyewitness	"Farmhouse in which I rode out #Cyclone #DEBBIE. Ferocious winds tore holes in walls, smashed windows. Today it was https://t.co/Gv7GgGf3KD"	
1834491108	FALSE	finalized	3	08/01/2018 9:14	0.6558	Thu Mar 30 03:24:59 +0000 2017	",847288519210942468,"	43352	direct_eyewitness	Work got canceled from the weather due to Cyclone Debbie :) My weekend starts early!	
1834491624	FALSE	finalized	3	7/27/2018 13:55:08	0.6814	Wed Mar 29 21:30:20 +0000 2017	",847199268980916225,"	37681	direct_eyewitness	We're getting a little wet today. Ex-cyclone Debbie has sent us some rain. Not a great day for https://t.co/7ttw7uM8ie	
1834491854	FALSE	finalized	4	7/31/2018 15:49:38	1	Thu Mar 30 07:22:07 +0000 2017	",847348196200169478,"	48803	direct_eyewitness	The rain just got heavier #TCDebbie #DebbieDoesQld	
1834491033	FALSE	finalized	3	7/27/2018 12:55:11	0.661	Thu Mar 30 01:25:26 +0000 2017	",847258434806333441,"	41238	direct_eyewitness	Sooo cyclone debbie decided to have a holiday in brisbane. Everything is closed. :( Thanks girl	
1834490937	FALSE	finalized	3	7/28/2018 08:56:55	1	Thu Mar 30 00:33:01 +0000 2017	",847245241396584448,"	40537	direct_eyewitness	Other than some rain &amp; what I've seen on here &amp; FaceBook...What Cyclone/Flooding? #QLDPol #TCDebbie	
1834491455	FALSE	finalized	3	7/28/2018 11:02:23	0.6833	Thu Mar 30 21:31:32 +0000 2017	",847561958425452544,"	60009	direct_eyewitness	 UbisoftSupport it's all good now cyclone Debbie is gone now and the power is back on	
1834491740	FALSE	finalized	3	7/28/2018 10:00:53	0.6833	Thu Mar 30 02:17:24 +0000 2017	",847271511203356673,"	42242	direct_eyewitness	Ok guys I want to keep you updated. We are currently flooded in my area because of the aftermath of cyclone Debbie! https://t.co/vXq6tutSPR	
1834491329	FALSE	finalized	3	7/28/2018 10:28:48	1	Thu Mar 30 10:39:28 +0000 2017	",847397861042016257,"	52841	direct_eyewitness	By the way we survived cyclone debbie. A bit wet but survived.	
1834490494	FALSE	finalized	4	7/27/2018 14:04:49	0.5115	Wed Mar 29 21:27:37 +0000 2017	",847198586236411904,"	37645	direct_eyewitness	"Flight cancelled due to Cyclone Debbie and  VirginAustralia refuse to refund the flight! Awful customer service, will never use them again."	
1834491305	FALSE	finalized	3	7/28/2018 03:24:10	0.6643	Thu Mar 30 09:46:51 +0000 2017	",847384619548786690,"	51876	direct_eyewitness	"School was cancelled for today and tomorrow cause of cyclone Debbie. Hitting the east coast of qld Australia. Yay, but it was soo boring. C"	
1834491820	FALSE	finalized	3	7/28/2018 09:20:39	1	Thu Mar 30 05:43:34 +0000 2017	",847323394894741506,"	46300	direct_eyewitness	ArtistAbbas I'm in severe weather( last bit of ex cyclone Debbie) I'll do my best 2 rt but keep losing connection. Still got power thoughвњЊ B	
1834490966	FALSE	finalized	5	7/27/2018 17:16:55	0.6334	Thu Mar 30 01:05:00 +0000 2017	",847253292996476932,"	40985	direct_eyewitness	Showering after digging trenches around our home &amp; hoping we don't get flooded from Cyclone Debbie „D... https://t.co/5dyTxTlr8Z	
1834491273	FALSE	finalized	3	7/27/2018 13:13:54	1	Thu Mar 30 08:53:50 +0000 2017	",847371275156676608,"	50929	direct_eyewitness	" mulala_evalisto feeling great because as Cyclone Debbie is happening around my state, school is cancelled and I can sleep"	
1834490342	FALSE	finalized	5	7/28/2018 01:57:16	1	Thu Mar 30 02:22:14 +0000 2017	",847272726922379264,"	42317	direct_eyewitness	A bit of flooding in our area in #Brisbane! We may need an Ark tonight?! Ў4 #Debbie #CycloneDebbie #BIGWET #floods https://t.co/RAMwI3A0gm	
1834491944	FALSE	finalized	10	7/27/2018 18:44:43	0.9066	Thu Mar 30 10:46:13 +0000 2017	",847399557952557063,"	52968	direct_eyewitness	Australian Cyclone Debbie is really having us here A  Ј3	
1834490781	FALSE	finalized	3	7/27/2018 15:19:16	1	Wed Mar 29 22:49:31 +0000 2017	",847219196215808000,"	38848	direct_eyewitness	On my way to do very early school pickup. Thanks ex-cyclone Debbie.	
