Tweets	partition	Topics
either somebody big as shook building earthquake	train	0
usgsvolcanoes earthquake sf bay area	train	0
one felt earthquake	train	0
ubc researcher unveil earthquake proof concrete	train	0
icing poop cake earth climaxing taking psychic dump	train	0
nepal earthquake thousand demand shelter country little able cope	train	0
bruh trippin earthquake	train	0
hello earthquake twitter waiting deets earthquakessf	train	0
holy fuck feel earthquake	train	0
got stay part lol	train	0
earthquake occurred near coast costa rica utc	train	0
uhh anyone else feel earthquake	train	0
near country magnitude tweet source vardaani baba allahabad prophecy	train	0
thefederman earthquake thanks	train	0
yo feel earthquake	train	0
nd earthquake today	train	0
hell na blood earthquake got fucked	train	0
follow lot northern californian probably seeing lot earthquake tweet	train	0
also felt earthquake ok well bye	train	0
teto reaction earthquake go look window better get kid earthquake training	train	0
ooh big one	train	0
jst may earthquake iwate ken oki	train	0
first earthquake felt day lmao woah	train	0
bruh know felt earthquake	train	0
think little earthquake	train	0
welp fun felt sharp jolt oakland california native even try	train	0
think little earthquake	train	0
woof fun lil earthquake sf cat terrified	train	0
fucking earthquake right	train	0
ok either hella high fat as earthquake	train	0
quick lul earthquake came wrong time	train	0
tweet earthquake haha bye	train	0
latest earthquake daily thanks mcmchoho disaworldnews safdarqiz	train	0
fucking crazy earthquake	train	0
wtf earthquake trippen	train	0
no vamos la verga uncle earthquake	train	0
well quick earthquake	train	0
usgs report norcal area km nw geyser ca utc	train	0
go earthquake post	train	0
remained bed hoped would stop damn prepared	train	0
hank hill gut havin earthquake walk as fat muthafucka	train	0
feel earthquake san francisco currently richmond district	train	0
holy shit please save u dear hanuman ji	train	0
waiting earthquake tweet lol	train	0
please tell someone felt earthquake	train	0
really thought dog went head first something nope earthquake sure anyways	train	0
omg scary as earthquake city lord client hurry as shower hair	train	0
earthquake eastern honshu japan utc epicenter ago depth km	train	0
earthquake trippin lmao	train	0
welcome home earthquake felt west oakland anyone else	train	0
holy crap experienced jolting earthquake right	train	0
reported user app earthquake network report radius km download app f	train	0
insert earthquake status	train	0
earthquake messed head whoa	train	0
jolty earthquake oakland	train	0
ktvu mini earthquake	train	0
earthquake occurred km wnw valdez alaska utc	train	0
actually felt earthquake time	train	0
guac feel come big earthquake stgo	train	0
ktvu bad one	train	0
jolt lt earthquake gt	train	0
apparently earthquake lol feel thing guy kl nk mookyblast wingedwheeler	train	0
could earthquake terrorist attack wildfire minute school still continue pile u work test	train	0
check twitter earthquake	train	0
josheberley mega earthquake heard middle school sure taking time myth start	train	0
bay area earthquake twitter party	train	0
mean want game come back geez earthquake bit much earth	train	0
jus experienced earthquake	train	0
earthquake miyagi ken oki magnitude depth km	train	0
felt baby earthquake sf	train	0
lit as earthquake lol	train	0
earthquake neighbor moving around reggieaqui drewtumaabc	train	0
damn felt glad game oakland happy new moon uranus moving taurus shake	train	0
moving back real time fuck shit pay enough	train	0
omg earthquake hella hard	train	0
anyone else feel slow roll san francisco	train	0
well definitely felt like earthquake	train	0
yo yo yo earthquake yo shoot shit	train	0
checking local twitter see anyone felt earthquake right	train	0
magnitude earthquake km ene west yellowstone montana	train	0
largest earthquake several year shake southern california causing landslide santa cruz island	train	0
mohurstjr mandatory california earthquake post	train	0
earthquake getting nerve trying find new twink outfit zelda right	train	0
building hold major earthquake via curbedla	train	0
little east bay	train	0
soooo baby earthquake	train	0
yo felt earthquake	train	0
holy earthquake batman first time almost got something	train	0
obligatory earthquake tweet long one	train	0
earthquake twitter hello	train	0
thought brother walkin hella loud bitch even home fasholy tiny earthquake	train	0
another earthquake going go another hyperventilating breakdown	train	0
omg earthquake scared tf outta	train	0
omg earthquake happened	train	0
felt earthquake east bay feel	train	0
everybody natural disaster california waiting earthquake like	train	0
earthquake san francisco apartment shaking	train	0
obligatory earthquake tweet	train	0
guess earthquake lmao	train	0
know feel earthquake	train	0
yes earthquake rumbled oregon april prepared major one	train	0
earthquake rock world	train	0
earthquake bay area fam	train	0
check bay area twitter see everyone felt earthquake lmaoo	train	0
woke sleep thinkin earthquake n started cryin saw sister shakin knowin wtf ta b	train	0
day back bay already earthquake	train	0
rip explosive fart cause earthquake end world beacuse wanted box fro	train	0
damn earthquake scared shit outta	train	0
whether convulsion antedeluvian imprest since earthquake pas ingenious idea	train	0
big as earthquake	train	0
stupid as earthquake waking nigga	train	0
timeline currently everybody saying earthquake	train	0
good shake sf	train	0
earthquake hawaii may occurred within	train	0
anyone feel earthquake bay area	train	0
earthquake san francisco quick good jolt sure	train	0
berkeleyside rocked hard college alcatraz	train	0
every time earthquake come straight twitter make sure trippen	train	0
lmao little earthquake	train	0
finally felt earthquake sf cancelled going home	train	0
jaysauceyy feel earthquake	train	0
lmaoooo come earthquake tweet	train	0
earthquake random fuck	train	0
oh good mini	train	0
hello mr earthquake	train	0
earthquake east bay ktvu	train	0
ummm know trippin felt earthquake	train	0
wow kind big earthquake made scarier wearing pant	train	0
holy shit sf amp felt big as earthquake	train	0
yep earthquake least short	train	0
whoa earthquake literally slammed whole apartment like swear felt like hulk smashed wall oh gosh	train	0
sheeesh fat as earthquake shook	train	0
tribelaw recently posted something earlier whoa small earthquake one earlier sorry	train	0
report earthquake sf	train	0
either whole bunch prankster stood outside shook entire house going earthquake	train	0
cool earthquake east bay right nd half p	train	0
earthquake g though	train	0
magnitude earthquake near piedmont california united state san francisco california united state	train	0
else felt earthquake	train	0
damn big as earthquake	train	0
hello earthquake twitter	train	0
thomas paine earthquake snatch cali pacific ocean need one	train	0
earthquake first thing thought let go twitter last time lit	train	0
casual mini earthquake watching evening tv fine	train	0
earthquake bruh thanos comin thru	train	0
confirming earthquake searching twitter earthquake	train	0
anybody else feel earthquake	train	0
earthquake occurred km e kelseyville ca utc	train	0
shoutout one time thought little brother running hallway actually earthquake	train	0
stress orientation obtained earthquake focal mechanism appropriate uncertainty estimate	train	0
cynicgrrl brain torn felt little earthquake listening torus amos	train	0
magnitude earthquake km redlands ca	train	0
thought dad farting turn earthquake	train	0
sorry say twitter first place go think earthquake happening	train	0
distributing food blanket people constantinople earthquake want make donation	train	0
time earthquake twitter	train	0
felt little earthquake east bay	train	0
anyone feel earthquake happened	train	0
think felt small earthquake	train	0
real mad neighbor stomping earthquake	train	0
musta earthquake born shit faze one bit	train	0
lil earthquake mhm mhm mhmmm	train	0
baby earthquake aw cute	train	0
tripping feel earthquake	train	0
city felt swear house hayward fault	train	0
guy feel earthquake	train	0
minor earthquake mag detected near volcano hawaii	train	0
wait friend ask ok lmao one around feel	train	0
felt small earthquake bay area	train	0
maaaan felt earthquake	train	0
mag earthquake mi n visokoi island south georgia south sandwich island detail	train	0
anyone feel earthquake	train	0
big as jolt	train	0
def small oakland	train	0
bart train held earthquake occurred	train	0
felt earthquake san francisco strong heard roar rumbling began	train	0
leave california dc assume moving away natural disaster zone skip earthquake e	train	0
obligatory earthquake tweet	train	0
look earthquake felt lmaoo	train	0
think earthquake happened ready move back balad	train	0
omg tiny earthquake	train	0
magnitude mi borrego spring ca	train	0
lmao shaking earthquake scared tf outta	train	0
definitely earthquake daly city	train	0
yikes crazy earthquake	train	0
bay area long due major richter scale earthquake matter time	train	0
ever hear noise sound like earthquake coming damn truck driving something	train	0
earthquake occurred near marotiri waikato new zealand utc	train	0
come earthquake tweet	train	0
felt another damn earthquake	train	0
watching earthquake bay area spread twitter incredible	train	0
feel earthquake check twitter make sure crazy	train	0
mom said earthquake smoking wtf lmmaoo	train	0
waiting tweet asking anyone felt earthquake	train	0
global disaster alert coordination system alert pm earthquake occurred south geor	train	0
felt earthquake oakland	train	0
yo sorry earthquake real bad gas today	train	0
felt realize saw twitter	train	0
fuck actually lil earthquake america quaking presence bts	train	0
felt oakland pm	train	0
anyone feel earthquake sf	train	0
magnitude earthquake km wnw valdez alaska	train	0
kron news earthquake ssf	train	0
earthquake happen wake sleep	train	0
sf earthquake scared half awake	train	0
oh earthquake good one	train	0
oh hi gentle earthquake berkeley lt	train	0
goldengateblond literally sister like earthquake mom close door really	train	0
huge earthquake oml	train	0
pretty good sized earthquake oakland	train	0
obligatory earthquake tweet felt weak	train	0
whenever earthquake first response go twitter	train	0
little weak as earthquake	train	0
