Tweets	partition	Topics
omg could use disaster platform pro trump propaganda thxxxx	train	0
air quality advisor smoke haze wildfire northern california redwood complex	train	0
thousand flee canadian wildfire almost size hong kong	train	0
ok california realdonaldtrump coming throw paper towel take picture sure helpful	train	0
yale environment alberta wildfire could unlock vast reserve co permafrost	train	0
eerie comparison chicago fire	train	0
people still missing via motherjones	train	0
wildfire update may youtube	train	0
smoke large wildfire alberta continue drift south northern wyoming north wind	train	0
heart break california	train	0
state emergency service official updating public crew facing battle	train	0
please help family like share	train	0
evacuation order expanded fort st john due wildfire	train	0
abc hey realdonaldtrump care think real concern country rather divisive one	train	0
canada wildfire image show fort mcmurray devastation	train	0
endangering part california billion weed industry	train	0
wildfire blaze northern california photo via livescience	train	0
smoke ft mcmurray wildfire high western lk erie check sunset p unusual hue	train	0
allydub help assist affected fort mac wildfire linking fb group	train	0
winery risk wildfire rage northern california via aol	train	0
satellite image captured fierce easterly desert wind blowing smoke wildfire southern california	train	0
photo show massive devastation wrought one worst wildfire california history	train	0
number help put northern california wildfire perspective	train	0
wildfire burn control across northern california dead new york time	train	0
kerryellen tiffany dogbroccoli pennsylvania news page twitter first saw news wildfire	train	0
wildfire spark evacuation order state emergency	train	0
california fire want send warmest respect even mean worst sitcom ever	train	0
fort mcmurray principal help student flee wildfire school bus	train	0
vote yes raise significant amount let brother egg blasting mic drop	train	0
edmontonsun evacuee stuck north fort mcmurray move south	train	0
yet wildfire hit california	train	0
always da reason	train	0
lustlikethesin huge wildfire ne mn	train	0
wildfire canada could engulf area size whole	train	0
inside scorch zone wildfire forced evacuation fort mcmurray oil sand boom town alb	train	0
kind dick measuring contest puerto rico need help california fire opiods still ravag	train	0
sky hella foggy amp smell smoke sf	train	0
death toll climb dozen wildfire scorch california	train	0
sure digged soil may stop barrier wildfire people heavy equipment work faster fire ca	train	0
tonight california home business destroyed wildfire joefryer report region	train	0
expect extreme wildfire behaviour next day come morrison	train	0
took dog smell amp look smoke outside like someone bonfire next door northern mn wildfire	train	0
sadly hoping next national headline stealer turd demise mean fall	train	0
rwerkh ignoring straw man tweet illustrative immediate danger wildfire fukushima cc worsethannucpow	train	0
even believe happening nightmare	train	0
part northern california ravaged intense wildfire consumed acre land	train	0
unprecedented california wildfire kill people destroyed least home thus far	train	0
fort mcmurray wildfire first clear satellite image show deserted street burned home	train	0
got ash thick smoke outside california fire	train	0
wildfire sweep across northern california dead new york time	train	0
wine made grape exposed smoke may taste like ashtray burning rubber tyre charred meat nice	train	0
american burning death california realdonaldtrump tweet nfl	train	0
raining fire fort mcmurray citizen trying flee wildfire	train	0
wildfire burn control across northern california dead new york time	train	0
couple age die california wildfire thing worse one survived without	train	0
canadian town evacuated wildfire approach fort mcmurray picture	train	0
rex murphy fort mcmurray wildfire	train	0
official fear massive alberta wildfire could double size	train	0
northern california wildfire spinning control	train	0
rupieroop fort mcmurray wildfire double size fire fanned wind amp feeding dry vegetation	train	0
north right would explain smoke air	train	0
skibo fire wildfire approximately pm today wild fire reported township north range	train	0
couple friend evacuate santa rosa fortunately sf bit south	train	0
smoke plume alberta wildfire entrained deep eastern upper low circulated thru ga atlantic	train	0
official fear massive canada wildfire could double size	train	0
holy crap never seen breathed thick smoke wildfire hundred mile away actually hard breathe	train	0
bean cheile safe ca bff stepdaughter lost home amp entire neighborhood friend nephew home	train	0
burning like wildfire	train	0
oilsands production cut sharply wildfire rage	train	0
wildfire kill california wine country	train	0
smoke awful smell canadian wildfire	train	0
little late panic part leah literally thought zombie apocalypse happening	train	0
airlifted alberta inferno official warn blaze could double size video	train	0
thought victim affect california wildfire f	train	0
meantime withdrawing u law battling climate change	train	0
keep updated california really fire right	train	0
foxnews canada evacuating people air massive wildfire continues grow video wildfire f	train	0
wrong colleen happiest	train	0
wildfire leaf post apocalyptic aftermath abc news	train	0
huffingtonpost live canadian community open door people fleeing raging wildfire	train	0
least killed california wildfire thousand evacuated al jazeera english	train	0
joshrcrabb live west hawk detail wildfire forced people home	train	0
liked youtube video live santa rosa wildfire california evacuation sonoma napa country wild	train	0
cold one labatts wildfire evacuee	train	0
nwsbuffalo anticipate alberta wildfire smoke getting buffalo	train	0
home alberta reduced rubble aftermath wildfire leaving thousand displaced abc news via abc	train	0
sad terrible event	train	0
fort mcmurray wildfire grows hectare acre alberta official say	train	0
omahadailynews fort mcmurray fire know day resident escaped roaring wildfire canadian	train	0
wildfire threatening engulf city become powerful created firestorm	train	0
california wildfire reduces year long dream ember	train	0
fort mcmurray evacuee rely convoy airlift escape wildfire	train	0
ottawa match red cross donation fort mcmurray wildfire trudeau say	train	0
massive convoy moving evacuee wildfire zone	train	0
brother law hubby got safe lost everything owned clothes back cat	train	0
home california fire foundation goprofuel	train	0
massive convoy underway move fort mcmurray wildfire	train	0
raging wildfire force evacuation canadian city	train	0
california fire female inmate fighting blaze	train	0
california fire continue burn official say taken life home busine	train	0
alarmed everything go planned put gas mask back	train	0
canada evacuating thousand people wildfire stricken fort mcmurray air via time	train	0
trump say california state deal devastating wildfire ap	train	0
help amp donate victim california	train	0
least dead missing devastating california wildfire via mailonline	train	0
slave lake wildfire evacuee offer word advice fort mcmurray resident	train	0
msnbc pm least dead dozen missing california wildfire	train	0
smoke wildfire alberta made way north dakota	train	0
due wildfire emergency refill place affected california visit	train	0
california wildfire people still unaccounted structure burned	train	0
evacuation underway wildfire tear southern california	train	0
northern california wildfire claim least life k acre burn via aol	train	0
ugh massive amount smoke air today blowing canada thanks canada	train	0
may wildfire awareness month	train	0
canadian wildfire increase tenfold cut evacuee	train	0
wow realize smoke would travel far	train	0
wsj evacuation continuing today wildfire struck alberta	train	0
disneyland shrouded smoke california wildfire time	train	0
big unfortunately getting bigger	train	0
smoke wildfire damage california famed wine country	train	0
wildfire claim least life northern california	train	0
trump approves disaster declaration california wildfire	train	0
looked like apocalypse california resident watch horror wildfire destroy home	train	0
rumor travel like wildfire uhart	train	0
canada wildfire blaze disrupts convoy near fort mcmurray utc	train	0
scariest thing ever amp watch without tear town love gone	train	0
mil said people left without full tank gas uh	train	0
canada wildfire evacuee head south new image reveal devastation	train	0
gt cape breton bride blown away dress donation fort mcmurray wildfire	train	0
official live need rain know week week fighting fire	train	0
see wildfire call may first person spotted	train	0
watch massive wildfire canada lead today eye opener world second	train	0
california could stop catching fire would greaaaaaaat	train	0
oil canada wildfire dollar big weekly loss brent new york reuters oil price edged friday supported ear	train	0
realdonaldtrump wildfire killing people california puerto rico still without power	train	0
horrified read would fucking go flame abandoning olive	train	0
would cool california seceded joined catalonia calalonia would powerful nation	train	0
let written let done rameses clinton	train	0
atleast dead missing wildfire wine country northern california	train	0
crazy see smell quite strong	train	0
fast moving wildfire ravage northern california wine country forcing evacuation washington post	train	0
looooool heard since really hot warning sent wildfire including mn	train	0
fort mcmurray wildfire evacuee head south mass road convoy	train	0
map california north bay wildfire update via curbedsf	train	0
fucken shit one care trump say care whole state burn fuck	train	0
wildfire california halt production reason season	train	0
wildfire smoke bad could even see mpls skyline th amp hiawatha cc nwstwincities morningwxguy	train	0
lo help evacuee	train	0
official say home business destroyed dead wine country	train	0
canadian wildfire fort mcmurray alberta seen high sky michigan	train	0
lo evacuee grab leaving	train	0
lindseygrahamsc know f king bad enough republican clown prince lying lying	train	0
northern california wildfire kill least	train	0
thick gray wildfire smoke california spark warning limit outdoor activity mile flame	train	0
california potus screw jerrybrowngov	train	0
palo alto network looking senior product marketing manager wildfire	train	0
someone used wildfire suppression mention location x complex complex mean control weather creator	train	0
right really need rain say senior wildfire manager chad morrison	train	0
mass cutting police fire department budget staffing	train	0
huge wildfire alberta canada province lot family life okay wow	train	0
syrian join help need people across canada helping affected wildfire	train	0
hell earth devastating photo reveal california wildfire destruction via realalexjones	train	0
new james taylor california song seen fire seen rain fire really causing pain	train	0
northern california wildfire spinning control washington post	train	0
norton identity safe	train	0
people dead uncle property half gone neighbor house ash please anything yo	train	0
gas price bad fort mcmurray wildfire skyrocket	train	0
photo capture apocalyptic aftermath california wildfire	train	0
family drive southern california wildfire terrifying cnn	train	0
condolence involved experienced trauma wildfire canada wednesday	train	0
painfully sad wife aunt house destroyed yesterday devastating area town rain please	train	0
well answer previous tweet big fire northern mn	train	0
death toll climb least wildfire ravage northern california via nbcnews	train	0
n r n nut saw satellite image earlier much smoke really look	train	0
crazy wildfire canada causing smoke	train	0
goldengateblond yet another article feature tweet first tweet article	train	0
fort mcmurray wildfire alberta grows firefighter hope rain	train	0
wildfire canada crazy	train	0
shocking farmershaneyboy hope family safe	train	0
bcgeu made k donation red cross impacted fort mac area wildfire	train	0
northern california wildfire rage real estate must go	train	0
guess smoke wildfire california making epic sunset tonight	train	0
california fire sure beloved president somehow fan flame	train	0
guy know crazy wildfire otg right please donate help	train	0
atleast dead missing wildfire wine country northern california	train	0
devastating see widespread destruction anywhere close enough see smell smoke	train	0
military air support convoy evacuee unusual speaks unpredictability wildfire official cautious	train	0
dead wildfire torch california wine country	train	0
canadian drive burning city seeking safety wildfire	train	0
canadian convoy wait dawn hoping flee wildfire zone	train	0
smokey sunrise due lake hattie wildfire	train	0
always super impressed rex murphy speaking style alberta fire	train	0
massive wildfire burning alberta	train	0
ap photo selection picture past week photo gallery raging wildfire canada display russian	train	0
starting givalanche good help get rolling	train	0
may house router anymore maybe throttle data second know c	train	0
horrible pray rain	train	0
fort mcmurray construction association helping fight wildfire may canada costliest natural disaster	train	0
california wildfire resident find devastation santa rosa	train	0
evacuation continue wildfire struck alberta	train	0
smoky sky msp left amp st paul due wildfire smoke lake hattie drifting south	train	0
rip couple married year die together california wildfire	train	0
smoke reached sf made really muggy eerie morning	train	0
listen wildfire michael murphey applemusic	train	0
fort mcmurray wildfire grows hectare	train	0
california wildfire staggering number cnn	train	0
wonder uk government offered aid canada	train	0
u president donald trump approves disaster declaration california response wildfire	train	0
pense fund raiser mention help fire bet	train	0
haha california lit haha fire classic	train	0
cnn president trump speaks northern california wildfire la vega shooting recent hurricane	train	0
cnn help victim california wildfire way get help need	train	0
mike yes smoke large wildfire alberta	train	0
watch california spread incredible new image space	train	0
mieli entire state california either fire smoke	train	0
evacuation underway wildfire tear southern california	train	0
fall unetaneh tokef got super real	train	0
alberta premier looking come next victim massive wildfire	train	0
smoke wildfire canada blow montana great fall tribune	train	0
like wildfire day payment assist kqvg	train	0
world shamble white people fun	train	0
wildfire sweep across northern california dead new york time	train	0
wildfire kill destroy home building california wine count edge market	train	0
everyone know someone directly affected recent wildfire northern california	train	0
wildfire going lot	train	0
usa california wildfire devastate silverado trail winery	train	0
fort mcmurray wildfire grows time larger	train	0
wildfire latest lengthening lineage early wildfire northern reach globe	train	0
canada wildfire could double size saturday mass evacuation continue	train	0
sonoma son born santa rosa watch heart broken amp insulted man trump please go	train	0
greatest fear fire smoke via theage	train	0
leave cat huge wildfire nope leave everything ok bye stuff birth certificate v pet bond easy decision	train	0
massive wildfire burning alberta gt	train	0
expect say fort mcmurray bride helped torontonians wildfire destroys gown	train	0
stranger help bride get new dress lost massive wildfire inevitably lot thing	train	0
red cross date million received wildfire evacuee donate redcross ca donation matched fed ab gov t	train	0
minneapolis fire blowing right rig smoke area call canada wildfire	train	0
retweeted metro metrouk disney land look eerie wildfire rage california	train	0
earlier wildfire near youngstown still producing smoke hazardous driving condition near camp flower road	train	0
apple highlight wildfire assistance apps wake alberta blaze	train	0
therealkripke fort mcmurray ab canada burning due control wildfire need help support plz	train	0
oh heart sending love prayer	train	0
viirs data capture raging wildfire california	train	0
photo show canadian city fort mcmurray ruin devastating wildfire pic twitter	train	0
wildfire day canada multifactorial potential fort mcmurrays san diego colorado austin	train	0
least dead missing northern california wildfire	train	0
thousand flee wildfire ravage california least killed abc news via abc poor cali keep strong	train	0
toll mount life property lost california wildfire	train	0
california wildfire least people killed people reported missing ashleemullany	train	0
smoke canada wildfire	train	0
still wrapping head around insane heartbreaking scale brutal fallout come	train	0
california wildfire resident find devastation santa rosa	train	0
abc news latest detail path destruction california wildfire	train	0
alberta wildfire smoke also lake hattie wildfire smoke heavy north metro	train	0
raging wildfire california	train	0
redditor help another redditor affected wildfire california	train	0
pot farm threat wildfire rage california	train	0
thank california firefighter first responder napa sonoma amp anaheim hill hero	train	0
wildfire burn control across northern california dead via nytimes	train	0
firefighter see end mammoth canada wildfire	train	0
photo show canadian city fort mcmurray ruin devastating wildfire	train	0
fire alberta threatens oil production help boost price alberta wildfire threatens center	train	0
dealing official say home business destroyed dead california w	train	0
timelapse capture smoke engulfing fort mcmurray airport wildfire watch	train	0
canadian convoy begin hoping flee wildfire zone daily mail	train	0
smoke filling high desert sky today blowing deadly wildfire ravaging n california official say	train	0
realdonaldtrump ca fire literally remark help time tweet medium amp rile hate	train	0
much canadian wildfire smoke air right open window unless want house smell like campfire	train	0
fire far year california last year according cal fire	train	0
wildfire endangering part california billion weed industry	train	0
konnichiwa pharrell track wildfire way tew much	train	0
thinking positive safe wish home state colleague friend family affected fire	train	0
false prey wildfire novella wildfirue saga gt	train	0
minneapolis smell know love smog control canadian wildfire thousand mile away	train	0
hero horseback get animal path canadian wildfire	train	0
end drought likely exacerbated deadly california wildfire	train	0
know must hurt trump anything california ya know vote	train	0
lord send rain feeling canadian moment huge wildfire alberta	train	0
canadian wildfire edge south	train	0
luther burbank center heavily damaged california wildfire sopan deb	train	0
jokey start canadian pm trudeau promise wildfire	train	0
people died thousand acre destroyed northern california wildfire concerned f	train	0
albertan watch phone wildfire consumes home	train	0
prayer canadian friend dealing f f	train	0
imagine life turned upside f c	train	0
believe wildfire really happened	train	0
dr jim denison california wildfire whose door knock today	train	0
several call smoke air smoke fire alberta fyi	train	0
flame almost licking car fort mcmurray man video show harrowing escapeamong via cbcnews	train	0
retweeted cnn breaking news cnnbrk least people died california wildfire state fire agency	train	0
