Tweets	partition	Topics
torrential rain couple angle delivered food coffee crew	train	0
spare thought poor cockatoo caught brunt cyclone debbie little fella nice	train	0
latest nhvr safety bulletin available	train	0
round aflqmackay match cancelled weekend newsmackay aflq	train	0
cyclone debbie coal mine hopeful reopening soon wake storm number central queensland coal mine	train	0
yep welcome effect tropical cyclone debbie going pretty	train	0
school today school south east cancelled due cyclone debbie check news	train	0
queenslanders beautiful twitter amp please stay safe indoors cyclone debbie c	train	0
cyclone debbie dump bull shark middle queensland road	train	0
anyone know cowboy v rabbitohs game cancelled info nthqldcowboys nrl	train	0
man tear flow person would bat eyelid lol	train	0
still raining gold coast	train	0
wrath cyclone debbie predicted felt nsw later week	train	0
grand australia stay thanks	train	0
important something unnecessarily put emergency worker risk	train	0
lofty leading way cyclone debbie nasty attitude spread towards south loftea newsqueensland	train	0
rugby post bowen mudcrabs queensland australia cyclone debbie passed	train	0
raging floodwaters tropical cyclone debbie flow completely submerged car queensland australia	train	0
cyclone debbie caused first nannycraft u sewing crafting retreat cancelled	train	0
cyclone debbie make landfall australia	train	0
stay safe everyone time head home take board game boring accountant	train	0
bull shark becomes unlikely victim cyclone debbie via newscomauhq	train	0
thinking beautiful queensland everyone affected destructive cyclone debbie	train	0
preparing worst come debbie cyclone face	train	0
cyclone debbie creates holiday hell hamilton island	train	0
hey queenslanders pretty wet shake cyclone debbie blue practise swimming move	train	0
poor pup sum mood majority queenslanders today waking extent ex cyclone debbie	train	0
picked fella background eggplant thanks ex cyclone debbie want rot go woody	train	0
survivorcbs debbie self destruction game changed bad way	train	0
wallum frog active last night wake ex cyclone debbie vulnerable wallum froglets	train	0
thanks cyclone debbie school today ellabeattie	train	0
cyclone debbie queensland police fear fatality extent damage unclear	train	0
school uni closed kindy open ping scottmillmanedu ex	train	0
blue mean good right	train	0
left brother david richardson farm cyclone debbie tore best crop c	train	0
cyclone debbie rachel dolezal leg bst	train	0
school across coast closed today due ex tropical cyclone debbie local urged stay home newsgoldcoast	train	0
school cancelled cyclone fuck yeah thanks cyclone debbie fuckin love ya xx	train	0
family uk brisbane getting lot rain cyclone debbie school closed work place	train	0
