Tweets	partition	Topics
nasa see approaching landfall nasa aqua	train	3
small earthquake happened	train	0
unprecedented wildfire break northern southern california	test	2
know heart beating fast felt earthquake	train	0
cyclone debbie coal mine hopeful reopening soon wake storm number central queensland coal mine	dev	3
flood knee deep street ankle deep compound omg geraldmpl even make training	train	1
heatwaves flood warning going place thought toronto apparently	test	1
make landfall findout tracking	train	3
tropical cyclone debbie flurry nonsensical executive order coming white house	train	3
sister looked like second actual earthquake came like coming lol	train	0
hey think earthquake happening	train	0
fatzgorrie good luck amp family rain cyclone debbie mate	train	3
yadra kece cyclone debbie territory	train	3
whoa big single shake	train	0
umbrella injured tried walk dudley ex tropical cyclone debbie	train	3
ocean co sheriff severe thunderstorm warning flood watch place please monitor weather	dev	1
cyclone debbie stop coral bleaching expert say live	train	3
funnyaida ijessewilliams thank aida let u flood greysabc support jesse	train	1
school closed brisbane brace nightmare cyclone debbie wake	train	3
good morning poppy stans flood mention daily know existed glad	train	1
wildfire devastate northern southern	test	2
smoke wildfire north	train	2
rain go ayaw make flood	train	1
uploaded month patreon little earlier case cyclone debbie come ton comic wips	test	3
flood event wind event resulting enormous number car houston area	train	1
everylibrary yay nothing like annoying public official e mail flood right thing	train	1
beavis slob bought trailer home fell asleep waking earthquake	train	0
keep hustlin gon flood bust	train	1
every time earthquake think big one	train	0
scrolling twitter n feel earthquake hit search real quick confirm	train	0
supposed impressed unity ticket natural disaster turnbull want cookie	train	3
flood emergency unfolding across south east queensland erinedwards	train	3
shaking headache must earthquake right	train	0
ok yeah go twitter make sure everyone else felt earthquake	train	0
morrison still extreme wildfire behaviour	test	2
hot dry weather x high wind x low humidity x dense boreal forest wildfire mwf became horse river fire	dev	2
today render come letter b bugger debbie	train	3
missing something earthquake report made appear adorable certain area	test	0
nwsbirmingham early afternoon looking localized flood potential across western cou	train	1
anybody else felt earthquake	train	0
north east flood sikh volunteer lend helping hand flood hit assam via indianexpress	train	1
missing dead control evacuating	dev	2
look like optus service back airlie beach abcnews	train	3
usgs report norcal area km ene oakland ca utc	test	0
holiday maker arrive back island whitsunday find stuck airlie beach	train	3
hmmm county call tell going flood really bad good sign right lol	train	1
small earthquake sf u	train	0
icymi piece three lesson	train	2
ok folk addition flood devastation weekend also told today insurance ha	train	1
sad news article developing couple married year dy northern california fire	train	2
class cancelled today result cyclone debbie take opportunity relax try get ahead class f	train	3
grew queensland used go swimming disgusting flood water hard	train	3
watching wcf couch shake earthquake	train	0
heart heavy evacuee woke smoke bad called told	train	2
southern california wildfire remains active	train	2
x debbie cockatoo saved category four cyclone died	train	3
heavy rain could flooding starting early friday morning	train	1
today crazy sitting eye ex cyclone debbie waiting pas wind flare one last blast	train	3
family uk brisbane getting lot rain cyclone debbie school closed work place	train	3
justdaga hw fit talk say ano go go like mommy saf go kill accra boy fit use flood excuse ooooo	train	1
climatologist explains condition primed fire california	train	2
apparently cyclone debbie almost named caleb instead ended piddly thing indian ocean left wing conspiracy	train	3
school brisbane se queensland closed day ex cyclone debbie move south	train	3
monster cyclone debbie batter northeast australia rte	train	3
elliottskycase tough rich phone number flood nobody make report actual ice line	train	1
thought love would burn like wildfire	train	2
newyorker fire via elizkolbert	train	2
view alberta wildfire air heartbreaking photo canadian press ap	test	2
weather news cyclone debbie flooded mackay resident safe heavy rain slows cyclone recovery suburb	train	3
earthquake bad one	train	0
flash flood warning come phone like amber alert	train	1
shawdy bad af want flood cash app	train	1
hope friend family area safe	train	2
twice tzx flood dear good afternoon anyway	train	1
everyone california going die hell fire	train	2
bitch class felt fucking earthquake	train	0
cyclone debbie given day school today chance catch marking	train	3
memory linger flood room like alone thought	train	1
small as earthquake mom go crazy	train	0
resident seen evacuating smoke wildfire alberta canada grows behind	test	2
drove flood get slice	train	1
partner community shared first hand experience working ground post earthquake actionai	test	0
photo capture apocalyptic aftermath california wildfire	train	2
bad hear cyclone debbie think adam family	train	3
anyone feel earthquake lol	train	0
pet scared fourth july firework flood animal shelter via azcentral tf peo	train	1
stuarthalloway sorry flood talking	train	1
mi wnw az mi w westmorland ca	test	0
cyclone kindly leave	train	3
live update fire dead wine country northern california	train	2
watching cyclone debbie drop whole lot rain sunshine coast	dev	3
gt gt holiday hell hamilton island cyclone debbie	test	3
sitting flood wall waiting cincinnati red firework	train	1
woke phone blaring flood warning	dev	1
kitv honolulu cyclone debbie make landfall queensland coast honolulu hawaii news sport	train	3
tribelaw recently posted something earlier whoa small earthquake one earlier sorry	train	0
better take umbrella either flood get sunburnt never know min around	test	1
magnitude earthquake rattle east county cbs news san diego ca news station kfmb channel	test	0
school closed brisbane brace nightmare cyclone debbie wake	test	3
felt earthquake oakland	train	0
dead wildfire torch california wine country	train	2
find miner impacted	train	3
two elderly people man four child sippy creek road tanawha evacuated swift water recu	test	3
faffrobert lucky missing ex cyclone debbie unlucky missing school day uq enjoy	train	3
lrmysoccerotter option either fire flood god bless usa	train	1
canada wildfire reality many feared	train	2
look face smokey jr gaining weight orphan rescued wildfire last month	train	2
jckstarr rocket catch high point cheese yummy glitchin flood labbing	train	1
shockz seeing weekly new release flood yet	train	1
cyclone debbie downgraded move inland sky news australia	train	3
want point hill attendance became unreliable ad decided flood hill	train	1
canada wildfire disrupts rescue convoy evacuation convoy rochdaleonline	dev	2
friend work felt earthquake he one hannou everyone else like going	dev	0
bowen basin coal mine hopeful reopening soon rain eas via abcnews	train	3
debbie sting tail look like mini cyclone eye right brisbane km brisbane mt stapylton radar	train	3
amazing team reconnaissance work lead unam geer mexicocity earthquake inform coming soon	test	0
rt legal problem cyclone debbie deadly storm strike australia thousand flee	train	3
crazy thick smoke outside sure family run future	train	2
holyshit earthquake san francisco	train	0
cole parkwood feeling effect blocked road caused cyclone debbie	train	3
tripping small earthquake right	train	0
getting hard breath outside smoke air keep ya window closed safe f c	test	2
checked news cyclone debbie whole shire live path way	train	3
magnitude earthquake km sw leilani estate hawaii	test	0
wildfire engulfs fort mcmurray	train	2
debbie parrot update	train	3
state hwy road bolivar peninsula flood even high tide txdot imp	dev	1
e jeremiah mma yeah diegoufctx got truck stuck flood class	train	1
breaking evacuation ordered tuesday evening wildfire raged across california killing	dev	2
ooo another earthquake	train	0
fearless reporting disaster voyeurism two different thing	train	3
guy feel informed lagos people go lagos talk flooded	train	1
okay earthquake bad lmfao	train	0
random earthquake ok	train	0
school south east queensland closed ex cyclone debbie move guardian news	train	3
oklahoma ohio face flood risk sunday night	train	1
watch get flood road first class get suspended	train	1
liked youtube video andysfishing cyclone debbie natural disaster survived ep	train	3
local agent answering call send copy policy mine damaged flood	train	1
cyclone debbie saturated cockatoo photo dy	train	3
dead bull shark found aftermath cyclone debbie	train	3
hamilton island left decimated cyclone debbie hundred people stranded island battle	train	3
may house router anymore maybe throttle data second know c	train	2
bullshit earth year old noah flood year old satan putting lie anythi	train	1
rightawayfunds shared wsj evacuation continuing today wildfire struck alberta	dev	2
vehicle convoy underway evacuate thousand canadian wildfire video wildfire force evacuation e	train	2
prayer everyone affected including nina uncle cousin survived oakland firestorm wel	train	2
building shook idea earthquake	train	0
bts thoughtful king see way carry always lyric flood wi	train	1
flood republican start moving away trump know wholly owned following order	train	1
think got hit earthquake	train	0
wow crazy f c everyone stuck wildfire alberta	train	2
cyclone debbie rnz live coverage pic afp	train	3
another earthquake bay feel	train	0
current regime prefers attack black woman people environmental disaster situation californian wild	train	2
mom said earthquake came twitter	dev	0
first help phobia	train	0
zenkaivfx school cancelled today tomorrow co cyclone debbie	train	3
trump willing help help pr pay tax vote use	train	2
turnbullmalcolm weather event like becoming common need implement clean energy policy amp r	train	3
