Tweets	partition	Topics
photo damage los cabos baja california sur mexico caused photo courtesy htt	dev	3
napa look like quake strong earthquake rocked northern california early sunday morning inj	train	1
new disease called mers lol mers middle east go figure	dev	5
djcinnful playing pam tillis shake sugar tree	dev	9
local partner rehabilitated water supply scheme providing water half population	train	0
thinking maybe would good idea cdc focus disease prevention instead bike path amp food	train	8
iyogi launch bridge kashmir flood relief j amp k	train	6
anger mount indian kashmir worst flood century krista mahr srinagar india reute	train	6
chpsre chpsre rtlastquake achyutluitel causalties kathmandu bhaktapur everest avalanche sunsari	train	10
vanuatu people homeless	train	9
prayer f also people suffered devastating may god amp fam	train	10
please join u bereaved family killed injured	train	10
health care worker aboard cruise ship monitored symptom	dev	8
typhoon hagupit head towards philippine thousand evacuate key fact figure	train	7
let known india helping say cabinet secretary	train	10
km ssw amatignak island alaska detph km utc	test	0
tropical cyclone olwyn hit western australia friday march	test	9
fact ebola transmitted ebola symptom cause	test	8
lodi wine industry reach help napa winery affected earthquake cbs sacramento	train	1
hey provider text donate go charity ie unicef	train	10
word make harm flood j amp k indian killing kashmiri	train	6
dear eastenders please get rid pam fucking annoying fuck	train	9
hoping everyone involved napa okay thank incredible rescue worker	test	1
least dead thousand forced home yesterday quake northern coast	dev	2
elca already responding people nepal read	train	10
waaa ill chunk see sends might length xx	train	4
major mag earthquake struck coast chile sun uranus local midheaven squaring ju	train	2
remember tacloban town hit typhoon another typhoon way	train	7
tragedy strike kindness hurricane odile family decided help thousand	train	3
saudi arabia report mers death call country step prevention may disease	train	5
according neta crawford total death big difference pakistan casu	train	0
usgs report km ese el cerrito california utc	train	1
cyclone pam set hammer north island national nz herald news	train	9
india pakistan flood toll pass	train	6
deadly monsoon hit india nepal dozen people killed flooding northern easte via	train	4
proudly serving pakistan satisfaction helping countryman time need help flood victim	test	6
every disaster bad thing happen reason hope everything okay everyone safe	train	2
ht today james reid centurytuna bod jadine danceprod forasap b pam	train	9
nepal india begin relief effort monsoon flood claim least life network front guardian hel	dev	4
help make happen help jammu amp kashmir flood relief fund	train	6
salute chief grt step victim	train	10
flood water vanish guddo sukur barrage capacity flow spreaded deliberately punjab	train	6
video kashmir valley submerged flood	train	6
earthquake km wnw iquique apr epicenter km iquique depth km otro	train	2
let u help rebuild	train	3
nearest legazpi city tomorrow say	train	7
last night sent specially trained staff part uk response following weekend event	train	10
km wsw puerto madero mexico detph km utc	train	0
quake major test hard luck california city california earthquake mark first major test hard luck c	train	1
reporter guess could say road dragon survived cyclone back dan	train	9
every time see number dead risen get sick inside	train	10
nowgam kanihama struggling flood furry lalchowk abiguzar trader estimate loss around crore ht	test	6
km n hatillo puerto rico detph km utc	train	0
deadly attack spell gloom talk rawalpindi ex brigadier family killed	train	0
donate international red cross amp red crescent society especially help people vanuatu hurt typhoon pam	train	9
uganda isolates passenger ebola like symptom awaiting test result first case tested east africa	train	8
side safe killed deadliest flood read	train	6
another useful help people affected	train	10
thought prayer good men woman head nepal	train	10
tc update today dec typhoon ruby located km nw masbate city masbate n e	test	7
infected ebola disease kindly add salt bucket water bathe day break say ebola disease	train	8
dutch case concern older man underlying disease molecular mers test positive two center rivm emc	train	5
atlantis theory welcomed island rose sea earthquake	train	0
detail yr old girl found dead sea view cnbc	train	0
monster storm roar vanuatu relief worker anticipate enormous humanitarian need first	train	9
monitored symptom ohio none monitored sick	dev	8
jtwc forecasting reach haiyan strength knot near shore east manila knot oh	train	7
massive earthquake nepal least fatality far expect rise	train	10
review human human transmission virus oct	train	8
rain fury north india killed flood alert bihar rajnath singh two day visit	dev	4
dorky dancer know cute season jim pam version delena season three weak	train	9
vanuatu reveals scale devastation left wake	train	9
mexico president pledge help victim hurricane odile	train	3
california usa el monte dozen injured critically strong earthquake	train	1
hope peep chile okay	train	2
time w amp amp	train	2
odisha flood village still marooned	train	4
outbreak ebola virus disease guinea ecology meet economy via	train	8
omfg obama even answer simple question whether would supply drug country help	train	8
another jolt shattered district kill update	train	0
california begin quake clear good detail impact	train	1
israel fly premature surrogate baby nepal helicopter israel news ynetnews	train	10
situation appears stabilized disease still control west africa htt	train	8
congratulation pam interesting presentation vwbpe	train	9
four five home destroyed typhoon roar philippine via	train	7
missing newry earthquake man alive county man reported missing nepal earthquake alive	train	10
napa earthquake expose danger found home shop church sfgate via	train	1
hit chick okay shannonsyrup	train	4
people lost life injured enough food water tent live upd	train	0
chest chest nose nose palm palm always close	train	2
pleaseeee babeeee notice	dev	2
please save following government hotlines emergency via	train	7
pres lot question situation	train	8
hot community mapping vanuatu island new guide get involved	train	9
forget much hate debating pam debate pam	train	9
california usa oakland northern california rocked magnitude earthquake ea	train	1
year work saved life zero casualty today testimony post disasterprep work	test	7
earlier today relief material equipment earthquake assistance loaded aircraft bound kathmandu	train	10
pakistani kashmiri want india border opened flood relief firstpost	train	6
inquiry earthquake insurance likely spike california earthquake via	train	1
km nnw searles valley california	dev	0
many dead amp india flood	train	4
